token	sonnet_fix	occ	candidates
manv	many	18	anv|macv|man|mana|manav|manc
eusting	existing	18	busting|dusting|easting|esting|fusting|gusting
plovee	employee	18	lovee|plover
eecee	NONE	17	ceecee|eeee|eeeee|eevee|emcee
sirth	sixth	17	airth|birth|firth|girth|hirth|mirth
sonth	south	17	month|sont|sonta|sooth|sorth|soth
deserip	descrip	17	descrip|deseri|desert
omeers	officers	17	ameers|meers|omers
comties	counties	17	comites|commies|comtes|cooties
eured	cured	17	cured|eared|enured|ered|erred|eure
inelu	inclu	17	inclu|inel|influ|nelu
volving	involving	17	evolving|solving|valving|volling
pnor	prior	17	anor|inor|nor|onor|pcor|peor
sifty	fifty	16	fifty|gifty|lifty|nifty|rifty|safty
jobn	john	16	joan|job|joba|joban|jobb|jobe
ppropria	propria	16	propria
sweasey	NONE	16	swasey|sweaney|sweasy|sweeney
eeenee	NONE	16	eeeee|eeeeee|renee
eurred	occurred	16	burred|erred|furred|purred
hsted	listed	16	hasted|hated|hosted|husted|isted|sted
cnel	NONE	16	anel|cael|canel|cel|chel|ciel
nelac	NONE	16	celac|elac|neac|nela|nelap
sueb	such	15	saeb|seb|seeb|sheb|sieb|sleb
cireum	circum	15	circum|cream
nouce	notice	15	douce|nauce|noce|noice|nonce|noue
inust	must	15	ijust|imust|indust|injust|inst|inuit
salanes	salaries	15	galanes|salines|sealanes|silanes|slanes
staic	static	15	saic|stac|staci|stadic|stai|staia
geney	agency	15	deney|eney|ganey|gedney|gene|genea
jamp	NONE	15	amp|bamp|camp|damp|gamp|hamp
wauereas	whereas	15	whereas
elared	declared	15	blared|eared|elated|eldred|flared|glared
dunng	during	15	duang|duing|dung|duning|dunn|dunna
terin	term	14	aerin|berin|cerin|derin|erin|gerin
onth	month	14	anth|enth|mnth|month|noth|nth
scce	NONE	14	acce|cce|csce|ecce|icce|sace
pubhc	public	14	pubic
niust	must	14	iust|nist|nius|nust
jated	dated	14	ated|bated|cated|dated|eated|fated
annuin	annuity	14	alnuin|anduin|annin
eards	NONE	14	ards|bards|beards|cards|eads|eard
corle	NONE	14	borle|carle|coale|coble|cocle|cohle
semor	senior	14	emor|memor|sebor|secor|sedor|semar
stepb	NONE	14	steeb|step|stepa|steph|stepo|stepp
sunvisors	supervisors	14	survivors
onand	on and	14	anand|inand|nand|oland|omand|onan
enuse	ensure	13	ense|ensue|enure|enus|exuse|neuse
theretor	therefor	13	therefor|thereto
ereee	NONE	13	eeee|eeeee|erene|freee|reee
ccce	NONE	13	acce|cace|ccc|ccca|cccc|cccp
eagon	NONE	13	aegon|agon|bagon|dagon|deagon|eagan
appropn	approp	13	approp|approve
ehise	NONE	13	chise|ehime|eise|elise|heise|hise
leense	license	13	leese|lense
msurer	insurer	13	maurer|meurer|murer|surer|usurer
seealso	see also	13	seals
rnade	made	13	nade|rade|ranade|rande|reade|rhade
damsites	campsites	13	campsites|damsite
cesqg	NONE	13	cess
ineor	incor	12	incor|ineos|iner|infor|inor
jovy	NONE	12	covy|dovy|javy|jivy|joby|jody
sseee	NONE	12	seee|seeee
rutes	routes	12	brutes|butes|cutes|gutes|jutes|lutes
anve	NONE	12	aave|adve|ahve|anae|ance|ande
eeece	NONE	12	eeee|eeeee|leece|meece|reece|teece
disere	discrete	12	desere|diseme|isere|lisere|misere
noder	NONE	12	boder|coder|foder|ioder|joder|loder
tuled	ruled	12	guled|puled|ruled|taled|tiled|tled
yoat	boat	12	boat|coat|doat|goat|hoat|koat
omeer	officer	12	ameer|emeer|meer|omber|omer|omere
employec	employee	12	employe|employed|employee|employer|employes
meut	NONE	12	deut|eut|maut|meat|meet|meit
mmor	minor	12	amor|emor|maor|memor|meor|mhor
shaii	shall	12	haii|shabi|shadi|shafi|shafii|shahi
urgenes	urgencies	12	urgenev
revolv	revolve	12	evolv|resolv|revol|revolt|revolu|revolve
dutes	duties	12	butes|cutes|dates|dites|dotes|dtes
siats	stats	12	fiats|sats|scats|seats|shats|sias
renum	NONE	12	enum|frenum|ranum|regnum|regum|renu
erease	increase	12	crease|elease|erase|grease|prease|rease
mitial	initial	12	mital|mithal|mitia|mitral|mittal
csbg	NONE	12	cabg|cbg|cdbg|csb|csbs|csg
supv	NONE	12	spv|sup|supa|supe|supp|supr
officets	officers	12	officers|offices
eeceee	NONE	11	eeeee|eeeeee|exceed
amenda	amend	11	agenda|amanda|ameda|amena|amend|amende
oceu	NONE	11	ceu|dceu|occu|oce|ocea|oced
butif	but if	11	buti|butic|butin|butit|butte
ceceee	NONE	11	cecere|ceecee|decree
omcers	officers	11	omers
compensn	compensat	11	compens|compense
lymg	lying	11	lmg|lomg|lyg|lym|lyme|lymm
peena	NONE	11	beena|deena|eena|feena|geena|heena
inen	NONE	11	einen|enen|iben|iden|ien|igen
ttre	title	11	atre|etre|stre|tare|tere|thre
jence	NONE	11	bence|dence|ence|fence|gence|hence
sherit	sheriff	11	herit|sheeit|sheit|sheri|sheria|sheriat
instrue	instruct	11	instru|instruc|instrum
cfect	effect	11	cect|efect|fect
ecurt	court	11	curt
pohey	policy	11	ohey|poey|pogey|poher|pokey|poley
mclees	NONE	11	mckees|mcnees|melees|miles
governmg	governing	11	governm|governme
tvne	type	11	tane|tene|tine|tne|tone|tune
acetyluria	NONE	11	acetylurea
deberia	NONE	11	debris
jlbc	NONE	11	jbc|jdbc|jlb|jlc|jtbc|lbc
ocjp	NONE	11	cjp|ocp|ocsp
xxti	NONE	10	xti|xxi|xxii|xxth|xxvi|xxxi
deerce	decree	10	deere
muko	NONE	10	buko|duko|fuko|huko|kuko|luko
reere	NONE	10	beere|deere|eere|feere|heere|meere
logal	legal	10	dogal|fogal|legal|lobal|local|loga
adininistration	administration	10	adiministration
ofhce	office	10	offce|ofice
whoin	whom	10	hoin|shoin|whein|whin|whoi|whois
powersof	powers of	10	powers
neene	NONE	10	beene|deene|geene|heene|jeene|keene
pupus	NONE	10	lupus|pupas|pups|pupu|pupusa|purpus
larity	clarity	10	arity|clarity|darity|garity|laity|larita
nanee	name	10	anee|annee|danee|janee|lanee|manee
ruptey	bankruptcy	10	ruptly
ecpy	NONE	10	cpy|ecp|ecpa|ecpr|ecps|empy
jumor	junior	10	dumor|humor|jamor|jumo|junor|juror
sloner	NONE	10	cloner|loner|slone|sloper|slover|slower
retum	return	10	fretum|rectum|regum|rerum|resum|retam
deliverv	delivery	10	deliver|deliverd|delivers|delivery
eseee	NONE	10	eeee|eeeee|esee|esere|esmee|estee
eeeneee	NONE	10	eeeeee|eeeeeee
stuto	NONE	9	shuto|souto|stato|stut|stute|stuti
blarch	branch	9	barch|blach|blanch|blargh|blatch|larch
snech	NONE	9	nech|sech|seech|sneck|sneech|sneh
ollicer	officer	9	ollice|ollier|olliver
innds	NONE	9	inds|innes|innis|inns|ninds
scere	NONE	9	cere|scare|scee|scene|scerne|scire
szco	NONE	9	saco|sco|seco|sico|snco|soco
seorton	NONE	9	scorton
oltice	office	9	altice|ollice|ottice
tosue	issue	9	hosue|josue|togue|toque|tose|tosee
compensi	compensat	9	compens|compense
subpeenaed	subpoenaed	9	subpenaed|subpoenaed
iret	NONE	9	aret|bret|cret|eret|fret|gret
seribe	scribe	9	scribe|seribu|serie|serine
endorsees	endorsees	9	endorsee|endorsers|endorses
ineet	NONE	9	indet|inee|ineed|inept|inert|inet
maintaming	maintaining	9	maintaing
eorpo	corpo	9	corpo|corps
freeho	freehold	9	freebo|freedo|freeh|freeo
pror	prior	9	bror|dror|eror|fror|pcor|peor
amenc	amend	9	agenc|amec|amen|amena|amend|amene
carners	carriers	9	barners|cahners|caners|canners|carders|careers
effee	effect	9	effe|effec|effed|effen|effer|effet
mmimum	minimum	9	mimimum
amoul	amount	9	aboul|afoul|amol|amou|amoun|amour
whorn	whom	9	horn|shorn|thorn|whon|whore|whorf
forrn	form	9	foran|foren|forn|forr|forro|forry
xiha	NONE	9	aiha|iha|jiha|miha|niha|piha
selpas	NONE	9	salpas|sells|serpas
tecal	NONE	9	cecal|decal|ecal|fecal|pecal|recal
insuret	insured	9	insure|insured|insurer|insures|isuret
lacers	NONE	9	acers|facers|lacer|lacery|laces|lagers
eeere	NONE	8	beere|deere|ebere|eeee|eeeee|eere
ponas	NONE	8	bonas|donas|honas|jonas|monas|onas
xiti	NONE	8	biti|citi|diti|eiti|fiti|giti
ereating	creating	8	creating|erecting|treating
erented	erected	8	erected|evented|rented
potice	notice	8	notice|poice|police|potiche
compena	compensa	8	comnena|company|compend|compens
ccecee	NONE	8	ceecee
appropris	appropri	8	appropri
anniun	annuity	8	annin|annius|annul
xita	NONE	8	aita|bita|cita|dita|eita|fita
eessors	lessors	8	lessors
subprenaed	subpoenaed	8	subpenaed|subpoenaed
omees	NONE	8	mees|omens|omers|omes|omnes
connei	council	8	conne|connec|conned|connee|connel|conner
entrymen	entrymen	8	entryman
tlus	thus	8	alus|atlus|blus|clus|flus|ilus
revested	revested	8	retested|reverted|revetted|revisted
einet	NONE	8	binet|dinet|einat|eine|einem|einen
eeeding	NONE	8	deeding|feeding|geeding|heeding|needing|reeding
ecde	NONE	8	cde|cede|eade|ecce|ecd|ecdc
systein	system	8	oystein|systen
erimi	crimi	8	crimi|eimi|erim|primi|reimi|rimi
commls	commis	8	commas|commes|commis|comms
providec	provided	8	provide|provided|provider|provides
sitv	city	8	citv|itv|kitv|nitv|sbtv|sctv
rodmen	NONE	8	godmen|hodmen|redmen|roadmen|rodden|roden
dumng	during	8	duang|duing|dung|duong|durng
wuerzas	whereas	8	fuerzas|whereas
hmitations	limitations	8	imitations
instt	instit	8	inett|insat|inset|inst|insta|insti
dreco	NONE	8	areco|deco|draco|drec|dreck|greco
amoum	amount	8	amomum|amou|amoun|amour|amous|amout
subitems	subitems	8	subitem
udcs	NONE	8	adcs|bdcs|cdcs|dcs|ducs|edcs
enforceably	enforceable	8	enforceable
jtpa	NONE	8	dtpa|japa|jpa|jta|jtp|mtpa
direeter	director	8	directer
cnme	crime	8	came|ccme|ceme|cime|cme|cname
sliag	NONE	8	slag|slig|sling
nonregulated	nonregulated	8	unregulated
eeecee	NONE	8	ceecee|eeeee|eeeeee
sacss	NONE	8	acss|sachs|sacks|sacs|sass|scss
eeeree	NONE	7	eeeee|eeeeee|emeree|everee
fanding	funding	7	anding|banding|fading|fanling|fanning|fending
faet	fact	7	aet|daet|faat|facet|fact|fae
xviti	NONE	7	viti|xvii|xviii|xvith
approverl	approval	7	approver|approvers
cuanty	county	7	canty|chanty|cuanto|cunty
steth	NONE	7	seeth|seth|sheth|smeth|speth|stech
ecedings	proceedings	7	ceding
polico	police	7	polaco|polic|police|polich|polick|policy
ivss	NONE	7	hvss|iass|icss|idss|iess|ihss
sbull	shall	7	bull|scull|shull|skull|smull|stull
apnl	april	7	acnl|anl|apal|apel|apil|apl
enll	NONE	7	eill|ell|endl|enel|engl|enil
olty	NONE	7	alty|jolty|oaty|oity|olay|oldy
prosc	prose	7	proc|procs|pros|prosa|prosch|prose
jancs	NONE	7	ancs|bancs|jacs|janas|jance|jancis
paicl	paid	7	paice|pail
gommis	commis	7	commis|gomis
vorpo	corpo	7	corpo|corps|vorp
nnne	nine	7	anne|enne|inne|nane|nanne|nene
narne	name	7	aarne|arne|barne|carne|farne|karne
tofore	before	7	before
attomey	attorney	7	attorney
pases	passes	7	apses|ases|bases|cases|eases|gases
wuerras	whereas	7	whereas
aining	aining	7	aiding|ailing|aiming|airing|alining|aning
eloek	NONE	7	elek|loek
subregistrars	subregistrars	7	subregistrar
publicad	publica	7	publica|publicado|publicae|publican
veved	vested	7	vened|vered|veve|vevey|vexed
betterments	betterments	7	betterment
jowing	jowing	7	bowing|cowing|gowing|jawing|joing|joking
dietion	diction	7	diction|dition
manufae	manufac	7	manual|manufa|manufac
auator	auditor	7	abator|amator|auctor|autor
aceom	accom	7	accom|acem|aceon|acom|aecom
bials	NONE	7	baals|bails|bals|beals|bial|biala
reation	relation	7	creation|eration|ration|reaction|reaktion|rection
teense	license	7	teenie|teens|teensy|teese|tense
euts	cuts	7	buts|cuts|duts|eats|ebts|ects
emment	NONE	7	emmen|emmert|emmet|emmett
approvel	approval	7	approval|approve|approved|approver|approves
sials	NONE	7	dials|rials|sails|sals|seals|sial
cuaptter	chapter	7	chapter
cuapterr	chapter	7	chapter
ablic	public	7	abulic|alic|aulic|balic|blic|public
tanster	transfer	7	ganster|tapster|taster
hcenses	licenses	7	censes
facilines	facilities	7	facilites
ocss	NONE	7	acss|bcss|ccss|coss|css|dcss
payrolling	patrolling	7	patrolling
eeeceee	NONE	7	eeeeee|eeeeeee
preplea	NONE	7	presley
encv	NONE	7	eccv|ecv|enc|enca|ence|ench
nnene	NONE	7	nene|nonene
cafion	NONE	6	calion|camion|canion|carion|casion|cation
urcr	NONE	6	krcr|rcr|ucr|urc|urca|urch
joun	NONE	6	aoun|boun|coun|doun|foun|houn
clse	close	6	alse|case|cbse|cdse|cise|clase
cnart	chart	6	cart|chart|clart|nart|snart
coxxix	NONE	6	clxxix|cxxix
witil	until	6	itil|wiil|witi|witl
curbings	curbings	6	curbing
orev	NONE	6	brev|erev|forev|grev|ohev|ore
xxxviti	NONE	6	xxxvii|xxxviii
suins	NONE	6	quins|ruins|sains|seins|shins|sins
breet	NONE	6	beet|beret|braet|breat|bredt|bree
proveed	provided	6	proceed|proved
pration	NONE	6	aration|bration|eration|gration|iration|oration
uppro	appro	6	appro|upper|upprop
fature	feature	6	ature|facture|faure|feature|future|mature
aiid	and	6	aaid|abid|acid|adid|aicd|aid
tiom	tion	6	biom|fiom|iom|liom|riom|thom
ensting	existing	6	easting|ensuing|esting|nesting|unsting
stnie	NONE	6	senie|sonie|steie|stie|stine|stonie
tront	front	6	bront|front|ront|tont|trant|trent
ecee	NONE	6	acee|cee|ecce|ece|ecec|ecer
benent	benefit	6	bement|benen|benet|benett|bennet|berent
mannasse	NONE	6	manasse
feesof	fees of	6	fees
eede	NONE	6	bede|beede|cede|dede|eade|edde
iligh	NONE	6	bligh|fligh|ilich|ligh|sligh
whora	NONE	6	ahora|chora|ghora|hora|khora|phora
vahd	valid	6	ahd|fahd|gahd|mahd|sahd|vaad
peddar	NONE	6	peadar|pedder|pedlar|poddar
dutiesof	duties of	6	duties
beneht	benefit	6	benet|benett
cuarter	quarter	6	carter|charter|cuartel|curter|quarter
tendents	NONE	6	pendents|tendent|tenents|tennents
ieal	NONE	6	beal|ceal|deal|eal|feal|geal
inatter	matter	6	gnatter|natter
ticr	NONE	6	icr|micr|tcr|tiar|tic|tica
eceds	NONE	6	ceds|eces|eeds
reoiled	recoiled	6	reboiled|recoiled|refiled|reviled|roiled
reeommen	recommend	6	recommen|recommend
fuing	NONE	6	cuing|duing|fing|fking|fling|foing
ingh	NONE	6	engh|igh|inah|inch|ing|inga
wrigation	irrigation	6	rigation|writation
cinets	NONE	6	cines|civets
ertv	NONE	6	crtv|drtv|edtv|erev|ert|erta
cver	over	6	aver|caer|caver|cber|cder|cer
jeval	NONE	6	deval|eval|javal|jeal|jebal|jemal
organt	NONE	6	orant|organ|organa|organe|organi|organo
imown	known	6	imon|mown
inei	NONE	6	bnei|idei|iei|imei|inai|inci
muniei	NONE	6	munie|munier
oecu	NONE	6	becu|ecu|occu|ocu|oec|oecd
mches	NONE	6	aches|ches|mchs|tches
grar	NONE	6	arar|brar|gaar|gar|garr|gear
suspens	suspend	6	suspen|suspend|suspends|suspense
witli	with	6	titli|wili|willi|withi|witi|witl
wuergas	whereas	6	whereas
jater	later	6	ater|bater|cater|dater|eater|fater
mdicate	indicate	6	medicate|micate
iblic	public	6	biblic|bilic|blic|iblis|ilic|public
stiute	NONE	6	stite|stoute|stute
inere	incre	6	incre|indre|inee|ineke|iner|ineri
remam	remain	6	emam|premam|ream|reham|rema|remai
uegis	NONE	6	aegis|egis|legis|regis
romack	NONE	6	roback|rommack|rumack|womack
writein	NONE	6	writen|writin
chaprter	chapter	6	chapiter|chapter|charter
iccal	NONE	6	ical|icca|iccat|ictal|incal
officet	officer	6	office|officel|officer|offices
eereee	NONE	6	eeeee|eeeeee
counhes	counties	6	couches
eeseee	NONE	6	eeeee|eeeeee|lessee
xiita	NONE	6	iita|vista|wiita|xiith
armona	NONE	6	amona|arcona|ardmona|arjona|arkona|armina
timpany	company	6	company|timpani|timpano|tympany
hcensure	licensure	6	censure
vanous	various	6	anous|fanous|vanos|vanoss|venous|vinous
nonbiased	nonbiased	6	unbiased
tetms	terms	6	teams|teems|tems|terms|tetas|tetes
bonra	NONE	5	bogra|bohra|bona|bonar|bonda|bondra
jating	NONE	5	ating|bating|cating|dating|eating|fating
meot	NONE	5	emot|eot|mcot|mdot|meat|meet
pames	names	5	aames|ames|bames|cames|dames|eames
lowns	towns	5	clowns|downs|gowns|klowns|lawns|loans
gfty	fifty	5	fty|gft|gfy|gifty|goty|gty
represental	representat	5	representa|representat
ouses	houses	5	bouses|buses|douses|fuses|houses|louses
sionors	signors	5	signors
recorda	records	5	record|recordar|recorde|records|recordz
trens	NONE	5	arens|brens|erens|frens|grens|orens
exeepted	excepted	5	excepted|exempted
canses	causes	5	anses|canes|cannes|canoes|cases|causes
clayes	clays	5	cayes|chayes|clades|claes|claeys|clares
szorton	NONE	5	scorton
oilice	office	5	cilice|milice|ollice
claiin	claim	5	claimin|clain|clarin|clatin|clavin
sereee	NONE	5	seeee|seeeee|sereen|serene
lxxxyv	NONE	5	lxxxiv|lxxxv
ccly	NONE	5	caly|ccl|ccls|ccny|cely|cly
eeers	NONE	5	beers|deers|ebers|eers|elers|evers
biam	NONE	5	baam|baim|bam|bcam|beam|bham
torms	forms	5	corms|dorms|forms|norms|orms|storms
eatch	catch	5	atch|batch|catch|datch|each|earch
actsin	NONE	5	actin
ecive	NONE	5	cive|ecize|ective|etive|recive
ercate	NONE	5	arcate|erate
earried	carried	5	carried|harried|married|parried|tarried
mumber	number	5	bumber|cumber|dumber|humber|lumber|member
fomor	NONE	5	fodor|fomer|fomo|foor|romor|tomor
tnay	may	5	anay|inay|jnay|nay|snay|tanay
approprin	approp	5	appropri
anen	NONE	5	aben|acen|aden|aen|agen|aken
annuni	annuity	5	annual|annuli
yoio	NONE	5	moio|oio|woio|yio|yobo|yodo
remising	remising	5	demising|premising|reising|remixing|remsing|revising
cmer	NONE	5	amer|caer|camer|cber|cder|cer
notee	notice	5	notbe|note|noted|noten|noter|notes
iect	NONE	5	bect|cect|dect|ect|fect|hect
gairdneri	NONE	5	gairdner|gardner
tior	NONE	5	dior|fior|ior|itor|lior|mior
msurance	insurance	5	esurance|insurance
fublica	publica	5	fulica|public|publica
applien	applied	5	applie|applied|applier|applies|applin
eome	come	5	aome|bome|come|dome|edme|ehome
slute	NONE	5	clute|elute|flute|glute|klute|lute
thercon	thereon	5	thereon|therion|theron|therron
jeases	leases	5	ceases|eases|jeames|jeanes|jesses|leases
siun	NONE	5	iun|saun|scun|seun|shun|sian
jivery	livery	5	ivery|jiver|jivey|livery|rivery
termot	NONE	5	dermot|termo|termon|termor
fovers	foyers	5	covers|dovers|fevers|fivers|foveas|foyers
nnen	NONE	5	annen|enen|ennen|innen|neen|nen
anaes	NONE	5	adaes|anaces|anacs|anae|anaee|anais
whieb	which	5	wheb|whie
pubbe	NONE	5	bubbe|jubbe|lubbe|pubbed|pubble|pube
vhen	when	5	chen|ehen|ghen|hen|jhen|khen
povers	powers	5	covers|dovers|govers|hovers|lovers|movers
aequiring	acquiring	5	acquiring|aquiring|requiring
phes	NONE	5	ches|ephes|hes|ihes|paes|pdes
cril	NONE	5	aril|bril|cail|ceil|cgil|chil
chavter	chapter	5	chanter|chapter|charter|chaster|chater|chatter
cireu	circu	5	circu|cire|cires|creu
notier	NONE	5	nodier|nosier|noter|nother|noticer|notker
sunes	NONE	5	bunes|dunes|funes|gunes|junes|lunes
jiave	NONE	5	iave|jave|jive|piave
ceneral	general	5	beneral|central|general|heneral|jeneral|teneral
wuertas	whereas	5	huertas|muertas|puertas|whereas
olner	NONE	5	lner|loner|ofner|older|oler|olier
naglee	NONE	5	nagle|nagler|nagles
seerc	NONE	5	seer|seera|seers|seery|serc
riore	NONE	5	biore|fiore|piore|priore|rione|rire
tarv	NONE	5	arv|carv|garv|harv|marv|parv
garne	NONE	5	aarne|arne|barne|carne|farne|gagne
recreationa	recreation	5	recreation|recreational|recreations
suei	NONE	5	guei|huei|kuei|quei|scei|seei
sealp	scalp	5	salp|scalp|seal|seale|seals|sealy
derty	NONE	5	berty|certy|darty|deity|denty|deray
foners	NONE	5	boners|coners|doners|foner|fones|foyers
heensed	licensed	5	censed
ofhcer	officer	5	ofher|oficer
sorghums	sorghums	5	sorghum
siuts	NONE	5	scuts|shuts|sifts|silts|sits|situs
shaj	NONE	5	chaj|haj|sahaj|saj|sha|shaa
giats	NONE	5	fiats|gaits|gats|geats|ghats|giants
distnets	districts	5	distress
termmation	termination	5	termination
meluding	including	5	deluding|eluding|melding
licensec	licensed	5	license|licensed|licensee|licenser|licenses
orcler	order	5	oraler|orler
provic	provid	5	perovic|promic|pronic|protic|provi|provia
wuereeas	whereas	5	whereas
wuenreas	whereas	5	whereas
pontember	nonmember	5	nonmember
hiele	NONE	5	hele|hiel|hield|hielo|hile|hille
puncheard	punchcard	5	punchard|punchcard|punched
approva	approval	5	approv|approval|approve
policv	policy	5	polic|police|polich|polick|policy
drine	NONE	5	arine|brine|crine|daine|deine|dine
ceccee	NONE	5	ceecee|decree
csuc	NONE	5	asuc|chuc|cpuc|csac|csc|cscc
deemphasis	deemphasis	5	emphasis|reemphasis
opmenl	NONE	5	open|opment
ponerse	powers	5	powers
ctal	NONE	5	atal|cal|catal|catl|ceal|chal
strl	NONE	5	ctrl|sarl|srl|stal|stel|sterl
ippb	NONE	5	ipab|ipb|ipob|ipp|ippa|ippc
postrace	NONE	5	postage|postface
maics	NONE	5	aics|macs|magics|maica|maico|maids
asamb	NONE	5	asab|asam|asama|asami|samb|same
reeset	reset	5	rebeset|reese|reeser|reeses|reest|reset
iwma	NONE	5	iama|ibma|icma|ifma|iima|ijma
alguist	NONE	5	algist|alquist
cmra	NONE	5	amra|camra|cara|cera|cfra|cira
eteee	NONE	5	eeee|eeeee|teee
slesf	NONE	5	sles
xuia	NONE	5	guia|huia|puia|quia|ruia|uia
rsds	NONE	5	asds|bsds|csds|dsds|esds|isds
crecks	creeks	4	checks|cracks|creaks|creeks|cricks|crocks
eseer	NONE	4	aseer|emeer|esber|esee|eser|esere
cuarrer	NONE	4	carrer|currer
cnap	NONE	4	anap|caap|cap|cbap|ccap|ceap
