session_label	session_year	session_type	total_chapters	source_url	confidence
1887 Regular Session	1887	regular	188	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1887	high
1889 Regular Session	1889	regular	290	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1889	high
1891 Regular Session	1891	regular	280	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1891	high
1893 Regular Session	1893	regular	244	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1893	high
1895 Regular Session	1895	regular	223	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1895	high
1897 Regular Session	1897	regular	278	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1897	high
1899 Regular Session	1899	regular	253	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1899	high
1900 Extra Session	1900	extra1	15	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1900-01	high
1901 Regular Session	1901	regular	275	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1900-01	high
1903 Regular Session	1903	regular	385	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1903	high
1905 Regular Session	1905	regular	613	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1905	high
1906 Extra Session	1906	extra1	64	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1906-07	high
1907 Regular Session	1907	regular	539	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1906-07	high
1907 Extra Session	1907	extra1	9	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1907-09	high
1907 Second Extra Session	1907	extra2	2	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1907-09	high
1909 Regular Session	1909	regular	729	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1907-09	high
1910 Special Session	1910	extra1	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1910-11	med
1911 Regular Session	1911	regular	753	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1910-11	high
1911 First Extra Session	1911	extra1	64	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1910-11	high
1911 Second Extra Session	1911	extra2	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1910-11	high
1913 Regular Session	1913	regular	699	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1913	high
1915 Regular Session	1915	regular	771	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1915	high
1916 Extra Session	1916	extra1	7	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1917	high
1917 Regular Session	1917	regular	803	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1917	high
1919 Regular Session	1919	regular	669	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1919	high
1921 Regular Session	1921	regular	915	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1921	high
1923 Regular Session	1923	regular	479	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1923	high
1925 Regular Session	1925	regular	480	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1925	high
1926 Extra Session	1926	extra1	2	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1927	high
1927 Regular Session	1927	regular	898	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1927	high
1928 Extra Session	1928	extra1	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1929	high
1929 Regular Session	1929	regular	891	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1929	high
1931 Regular Session	1931	regular	1220	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1931	high
1933 Regular Session	1933	regular	1059	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1933	high
1934 Extra Session	1934	extra1	11	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1935	high
1935 Regular Session	1935	regular	853	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1935	high
1937 Regular Session	1937	regular	933	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1937	high
1938 Extra Session	1938	extra1	26	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1938	high
1939 Regular Session	1939	regular	1124	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1939	high
1940 First Extra Session	1940	extra1	67	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1941	med
1940 Second Extra Session	1940	extra2	4	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1941	med
1940 Third Extra Session	1940	extra3	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1941	med
1940 Fourth Extra Session	1940	extra4	8	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1941	med
1940 Fifth Extra Session	1940	extra5	11	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1941	med
1941 Regular Session	1941	regular	1284	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1941	high
1942 First Extra Session	1942	extra1	25	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1943	med
1942 Second Extra Session	1942	extra2	3	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1943	med
1943 Regular Session	1943	regular	1137	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1943	high
1944 Third Extra Session	1944	extra3	6	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1945	med
1944 Fourth Extra Session	1944	extra4	60	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1945	med
1945 Regular Session	1945	regular	1527	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1945	high
1946 First Extra Session	1946	extra1	155	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1947	med
1946 Second Extra Session	1946	extra2	6	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1947	med
1947 Regular Session	1947	regular	1577	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1947	high
1947 First Extra Session	1947	extra1	20	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1947	med
1948 Regular (Budget) Session	1948	regular	38	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1948	high
1949 Regular Session	1949	regular	1603	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1949	high
1949 First Extra Session	1949	extra1	16	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1949	med
1950 Regular (Budget) Session	1950	regular	6	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1950	high
1950 First Extra Session	1950	extra1	74	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1950	med
1950 Second Extra Session	1950	extra2	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1950	med
1950 Third Extra Session	1950	extra3	46	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1951	med
1951 Regular Session	1951	regular	1765	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1951	high
1952 Regular (Budget) Session	1952	regular	14	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1953	high
1952 First Extra Session	1952	extra1	33	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1953	med
1952 Second Extra Session	1952	extra2	34	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1953	med
1953 Regular Session	1953	regular	1895	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1953	high
1954 Regular (Budget) Session	1954	regular	10	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1955	high
1954 First Extra Session	1954	extra1	67	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1955	med
1955 Regular Session	1955	regular	1966	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1955	high
1956 Regular (Budget) Session	1956	regular	13	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1957	high
1956 First Extra Session	1956	extra1	69	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1957	med
1957 Regular Session	1957	regular	2424	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1957	high
1958 Regular (Budget) Session	1958	regular	10	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1959	high
1958 First Extra Session	1958	extra1	104	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1959	med
1958 Second Extra Session	1958	extra2	3	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1959	med
1959 Regular Session	1959	regular	2195	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1959	high
1960 Regular (Budget) Session	1960	regular	14	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1961	high
1960 First Extra Session	1960	extra1	82	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1961	med
1960 Second Extra Session	1960	extra2	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1961	med
1961 Regular Session	1961	regular	2232	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1961	high
1962 Regular (Budget) Session	1962	regular	12	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1963	high
1962 First Extra Session	1962	extra1	67	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1963	med
1962 Second Extra Session	1962	extra2	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1963	med
1962 Third Extra Session	1962	extra3	3	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1963	med
1963 Regular Session	1963	regular	2181	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1963	high
1963 First Extra Session	1963	extra1	15	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1963	med
1964 Regular (Budget) Session	1964	regular	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1965	high
1964 First Extra Session	1964	extra1	151	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1965	med
1964 Second Extra Session	1964	extra2	4	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1965	med
1965 Regular Session	1965	regular	2070	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1965	high
1965 First Extra Session	1965	extra1	5	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1965	med
1965 Second Extra Session	1965	extra2	13	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1966	med
1966 Regular (Budget) Session	1966	regular	9	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1966	high
1966 First Extra Session	1966	extra1	169	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1966	med
1966 Second Extra Session	1966	extra2	7	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1966	med
1967 Regular Session	1967	regular	1725	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1967	high
1967 First Extra Session	1967	extra1	2	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1967	med
1967 Second Extra Session	1967	extra2	4	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1968	med
1968 Regular Session	1968	regular	1474	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1968	high
1968 First Extra Session	1968	extra1	7	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1969	med
1969 Regular Session	1969	regular	1619	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1969	high
1970 Regular Session	1970	regular	1628	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1970	high
1971 Regular Session	1971	regular	1821	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1971	high
1971 First Extra Session	1971	extra1	3	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1971	med
1972 Regular Session	1972	regular	1442	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1972	high
1973 Regular Session	1973	regular	1218	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1973	high
1974 Regular Session	1974	regular	1545	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1974	high
1974 Second Extra Session	1974	extra2	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1974	med
1975 Regular Session	1975	regular	1280	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1975	high
1975 First Extra Session	1975	extra1	2	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1975	high
1975 Second Extra Session	1975	extra2	2	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1975	high
1975 Third Extra Session	1975	extra3	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1975	high
1976 Regular Session	1976	regular	1487	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1976	high
1977 Regular Session	1977	regular	1261	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1977	high
1978 Regular Session	1978	regular	1432	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1978	high
1978 First Extra Session	1978	extra1	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1978	med
1979 Regular Session	1979	regular	1207	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1979	high
1980 Regular Session	1980	regular	1381	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1980	high
1981 Regular Session	1981	regular	1186	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1981	high
1982 Regular Session	1982	regular	1644	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1982	high
1982 First Extra Session	1982	extra1	5	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1982	med
1983 Regular Session	1983	regular	1327	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1983	high
1983 First Extra Session	1983	extra1	16	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1983	med
1984 Regular Session	1984	regular	1760	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1984	high
1984 Second Extra Session	1984	extra2	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1984	med
1985 Regular Session	1985	regular	1607	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1985	high
1986 Regular Session	1986	regular	1521	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1986	high
1986 First Extra Session	1986	extra1	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1986	med
1987 Regular Session	1987	regular	1504	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1987	high
1987 First Extra Session	1987	extra1	7	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1987	med
1988 Regular Session	1988	regular	1647	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1988	high
1989 Regular Session	1989	regular	1467	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1989	high
1990 Regular Session	1990	regular	1707	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1990	high
1990 First Extra Session	1990	extra1	37	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1990	med
1991 Regular Session	1991	regular	1231	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1991	high
1992 Regular Session	1992	regular	1374	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1992	high
1992 First Extra Session	1992	extra1	26	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1992	med
1993 Regular Session	1993	regular	1307	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1993	high
1994 Regular Session	1994	regular	1299	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1994	high
1994 First Extra Session	1994	extra1	160	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1994	med
1995 Regular Session	1995	regular	982	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1995	high
1995 First Extra Session	1995	extra1	10	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1995	med
1995 Second Extra Session	1995	extra2	7	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1995	med
1996 Regular Session	1996	regular	1171	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1996	high
1997 Regular Session	1997	regular	951	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1997	high
1997 First Extra Session	1997	extra1	8	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1997	med
1998 Regular Session	1998	regular	1080	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1998	high
1998 First Extra Session	1998	extra1	9	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1998	med
1999 Regular Session	1999	regular	1025	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1999	high
1999 First Extra Session	1999	extra1	5	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-1999	med
2000 Regular Session	2000	regular	1092	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-2000	high
2001 Regular Session	2001	regular	948	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-2001	high
2001 First Extra Session	2001	extra1	13	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-2001	med
2001 Second Extra Session	2001	extra2	18	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-2001	med
2002 Regular Session	2002	regular	1170	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-2002	high
2002 Second Extra Session	2002	extra2	19	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-2002	med
2002 Third Extra Session	2002	extra3	4	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-2002	med
2003 Regular Session	2003	regular	909	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-2003	high
2003 First Extra Session	2003	extra1	13	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-2003	med
2003 Second Extra Session	2003	extra2	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-2003	med
2003 Third Extra Session	2003	extra3	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-2003	med
2003 Fifth Extra Session	2003	extra5	2	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-2003	med
2004 Regular Session	2004	regular	954	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-2004	high
2004 Third Extra Session	2004	extra3	1	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-2004	med
2004 Fourth Extra Session	2004	extra4	2	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-2004	med
2005 Regular Session	2005	regular	729	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-2005	high
2005 First Extra Session	2005	extra1	145	https://clerk.assembly.ca.gov/historical-information/archive-list/statutes-and-amendments-codes-2005	med
2006 Regular Session	2006	regular	910	https://clerk.assembly.ca.gov/node/373	high
2007 Regular Session	2007	regular	750	https://clerk.assembly.ca.gov/node/372	high
2008 Regular Session	2008	regular	765	https://clerk.assembly.ca.gov/node/371	high
2007-08 Third Extra Session	2008	extra3	7	https://clerk.assembly.ca.gov/node/371	med
2009 Regular Session	2009	regular	652	https://admin.cdn.sos.ca.gov/bill-chapters/2009/chapter-number.pdf	high
2010 Regular Session	2010	regular	733	https://admin.cdn.sos.ca.gov/bill-chapters/2010/chapter-number.pdf	high
2011 Regular Session	2011	regular	745	https://admin.cdn.sos.ca.gov/bill-chapters/2011/chapter-number.pdf	high
2012 Regular Session	2012	regular	876	https://admin.cdn.sos.ca.gov/bill-chapters/2012/chapter-number.pdf	high
2013 Regular Session	2013	regular	800	https://admin.cdn.sos.ca.gov/bill-chapters/2013/chapter-number.pdf	high
2014 Regular Session	2014	regular	931	https://admin.cdn.sos.ca.gov/bill-chapters/2014/chapter-number.pdf	high
2015 Regular Session	2015	regular	807	https://admin.cdn.sos.ca.gov/bill-chapters/2015/chapter-number.pdf	high
2016 Regular Session	2016	regular	893	https://admin.cdn.sos.ca.gov/bill-chapters/2016/chapter-number.pdf	high
2017 Regular Session	2017	regular	859	https://admin.cdn.sos.ca.gov/bill-chapters/2017/chapter-number.pdf	high
2018 Regular Session	2018	regular	1016	https://admin.cdn.sos.ca.gov/bill-chapters/2018/chapter-number.pdf	high
2019 Regular Session	2019	regular	870	https://admin.cdn.sos.ca.gov/bill-chapters/2019/chapter-number.pdf	high
2020 Regular Session	2020	regular	372	https://admin.cdn.sos.ca.gov/bill-chapters/2020/chapter-number.pdf	high
2021 Regular Session	2021	regular	770	https://admin.cdn.sos.ca.gov/bill-chapters/2021/chapter-number.pdf	high
2022 Regular Session	2022	regular	997	https://admin.cdn.sos.ca.gov/bill-chapters/2022/chapter-number.pdf	high
2023 Regular Session	2023	regular	890	https://admin.cdn.sos.ca.gov/bill-chapters/2023/chapter-number.pdf	high
2024 Regular Session	2024	regular	1017	https://admin.cdn.sos.ca.gov/bill-chapters/2024/chapter-number.pdf	high
