[2026-06-01 19:38 PT] SESSION | OCR preprocessing bakeoff started | OK
[2026-06-01 19:40 PT] PREPROCESS | Metadata saved to C:\Users\PatrickKolasinski\PatoLex-scratch\ocr-bakeoff\pages_preprocessed\_preprocess_meta.json | OK
[2026-06-01 19:46 PT] RUN-TESSERACT | Preprocessed 17/17 pages OK | OK
[2026-06-01 19:46 PT] RUN-DOCTR | Preprocessed 17/17 pages OK | OK
[2026-06-01 19:46 PT] RUN-SURYA013 | Preprocessed 13/17 OK; 4 pages used raw fallback (Surya fillPoly UMat bug on high-contrast binarized images) | WARN
[2026-06-01 19:46 PT] RUN-PADDLE | Preprocessed 17/17 pages OK | OK
[2026-06-01 19:46 PT] COMPARE | RAW vs PREPROCESSED analysis complete | OK
[2026-06-01 19:46 PT] RESULT | doctr early-class: 0.633->0.654 (+0.021 IMPROVED); surya013: 0.679->0.692 (+0.013 IMPROVED); paddle: 0.624->0.604 (-0.020 DEGRADED) | OK
[2026-06-01 19:46 PT] FAITHFULNESS | All 4 engines PASS kidnaping litmus on both raw and preprocessed | OK
[2026-06-01 19:46 PT] CER | Preprocessing adds +0.6-1.1% CER penalty vs gold (gold is AI-draft; directional only; gold format mismatch suspected) | WARN
[2026-06-01 19:46 PT] SESSION | Preprocessing bakeoff complete. Report: ocr-bakeoff/PREPROCESS_REPORT.md | OK
