vol	in_act_order	chapter_raw	ocr_value	vision_value	raw_response
production-1871-72	285	CCCCXLIL	442		NO_IMAGE
production-1871-72	292	CCCCLY	450		NO_IMAGE
production-1871-72	296	CCCCLXY	460		NO_IMAGE
production-1871-72	309	DIY	501		NO_IMAGE
production-1871-72	332	DXXXIY	531		NO_IMAGE
production-1871-72	335	DXLY	540		NO_IMAGE
production-1871-72	341	DIL	502		NO_IMAGE
production-1871-72	355	DLXXYV	575		NO_IMAGE
production-1873-74	14	XXY	20		NO_IMAGE
production-1873-74	19	XXXY	30		NO_IMAGE
production-1873-74	32	LYL	100		NO_IMAGE
production-1873-74	58	XCIY	91		NO_IMAGE
production-1873-74	77	CXY	110		NO_IMAGE
production-1873-74	93	CXXXY	130		NO_IMAGE
production-1873-74	141	CCXYL	240		NO_IMAGE
production-1873-74	151	CCXXXIY	231		NO_IMAGE
production-1873-74	164	CCLY	250		NO_IMAGE
production-1873-74	206	CCCXXXY	330		NO_IMAGE
production-1873-74	219	CCCLY	350		NO_IMAGE
production-1873-74	221	CCCLYII	352		NO_IMAGE
production-1873-74	239	CCCCYII	402		NO_IMAGE
production-1873-74	252	CCCCXLY	440		NO_IMAGE
production-1873-74	263	CCCCLXY	460		NO_IMAGE
production-1873-74	269	CCCCXCY	490		NO_IMAGE
production-1873-74	274	DIY	501		NO_IMAGE
production-1873-74	294	DXXYVILI	575		NO_IMAGE
production-1873-74	300	DXXXY	530		NO_IMAGE
production-1873-74	318	DILXXYV	574		NO_IMAGE
production-1873-74	319	DIXXYII	521		NO_IMAGE
production-1873-74	328	DCTIII	604		NO_IMAGE
production-1873-74	335	DCXY	610		NO_IMAGE
production-1873-74	361	DCLYIII	653		NO_IMAGE
production-1875-76	50	d	500		NO_IMAGE
production-1875-76	79	CXI1	112		NO_IMAGE
production-1875-76	291	DVIT	507		NO_IMAGE
production-1875-76	337	DLXXITIL	574		NO_IMAGE
production-1877-78	1	1V	4		NO_IMAGE
production-1877-78	41	LITIL	54		NO_IMAGE
production-1877-78	48	LXITIL	64		NO_IMAGE
production-1880	33	XXXVITIL	39		NO_IMAGE
production-1880	106	CXXIITI	124		NO_IMAGE
production-1881	59	LXXVI1	77		NO_IMAGE
production-1883-84-regular	42	LIY	51		NO_IMAGE
production-1885-86	88	CVTILI	156		NO_IMAGE
production-1887	126	CXLY	140		NO_IMAGE
production-1887	157	CLXXXTI	182		NO_IMAGE
production-1889	132	CLVIIL	158		NO_IMAGE
production-1889	173	CCVITI	208		NO_IMAGE
production-1889	206	CCLVITII	259		NO_IMAGE
production-1889	208	CCLXI1	262		NO_IMAGE
production-1889	211	CCLXY	260		NO_IMAGE
production-1891	55	Li	51		NO_IMAGE
production-1891	170	CXCY	190		NO_IMAGE
production-1891	176	CCTIII	204		NO_IMAGE
production-1893	31	XXXITII	34		NO_IMAGE
production-1895	143	CLITII	154		NO_IMAGE
production-1897	22	XXY	20		NO_IMAGE
production-1899	36	XLY	40		NO_IMAGE
production-1899	50	LXY	60		NO_IMAGE
production-1899	102	CXXXVIIL	138		NO_IMAGE
production-1899	107	CXLITII	144		NO_IMAGE
production-1899	109	CXLY	140		NO_IMAGE
production-1899	169	CCXY	210		NO_IMAGE
production-1900-01	52	LXY	60		NO_IMAGE
production-1900-01	198	CCXLIL	242		NO_IMAGE
production-1900-01	229	CCLXXY	270		NO_IMAGE
production-1903	38	XLIY	41		NO_IMAGE
production-1903	149	CLXXITI	173		NO_IMAGE
production-1903	150	CLXXY	170		NO_IMAGE
production-1903	235	CCLXXY	270		NO_IMAGE
production-1903	248	CCXCITI	293		NO_IMAGE
production-1903	280	CCCXXXIY	331		NO_IMAGE
production-1903	305	CCCLXVIi	367		NO_IMAGE
production-1905	40	XTIV	15	44	XLIV
production-1905	202	CCX1LI	260	242	CCXLII
production-1905	450	DLXITII	564		UNKNOWN
production-1905	458	d	500		UNKNOWN
production-1905	465	DLXXXI1I	583		UNKNOWN
production-1910-11	27	d4	500		NO_IMAGE
production-1910-11	29	9d7	500		NO_IMAGE
production-1910-11	267	d1d	999		NO_IMAGE
production-1927-vol1-chapters	701	8il	2		UNKNOWN
production-1935-vol1-chapters	90	10d	0	105	105
production-1941-vol1-41chapters	627	10238	10238		UNKNOWN
production-1941-vol1-41chapters	681	11382	11382	1132	1132
production-1941-vol1-41chapters	728	d	500		UNKNOWN
production-1943-vol1-chapters	712	i019	2		NO_IMAGE
production-1945-vol1-chapters	964	T1905	2		UNKNOWN
production-1945-vol1-chapters	1040	13800	13800		UNKNOWN
production-1945-vol1-chapters	1089	13870	13870		UNKNOWN
production-1945-vol1-chapters	1095	13878	13878		UNKNOWN
production-1945-vol1-chapters	1099	13838	13838		UNKNOWN
production-1945-vol1-chapters	1110	13899	13899		UNKNOWN
production-1945-vol1-chapters	1121	I4t2	2		UNKNOWN
production-1945-vol1-chapters	1135	14389	14389	1439	1439
production-1947-vol1-chapters	922	10386	10386	1036	1036
production-1947-vol1-chapters	1186	13825	13825		UNKNOWN
production-1947-vol1-chapters	1293	14386	14386		UNKNOWN
production-1949-vol1-chapters	773	10438	10438		UNKNOWN
production-1949-vol1-chapters	846	11385	11385		UNKNOWN
production-1949-vol1-chapters	926	12386	12386		UNKNOWN
production-1951-vol1-chapters	453	611i	3		NO_IMAGE
production-1951-vol2-chapters	10	10380	10380		UNKNOWN
production-1951-vol2-chapters	11	10387	10387	1037	1037
production-1951-vol2-chapters	201	12638	12638		UNKNOWN
production-1951-vol2-chapters	252	13828	13828	1328	1328
production-1951-vol2-chapters	500	16389	16389		UNKNOWN
production-1953-vol2-chapters	189	12738	12738		UNKNOWN
production-1953-vol2-chapters	605	17382	17382		UNKNOWN
production-1953-vol2-chapters	640	17738	17738		UNKNOWN
production-1955-vol1-55chapters	791	10387	10387		NO_IMAGE
production-1955-vol2-chapters	151	13438	13438	1343	13438
production-1955-vol2-chapters	537	18538	18538		UNKNOWN
production-1957-vol1-57chapters	845	11382	11382		UNKNOWN
production-1957-vol1-57chapters	846	11384	11384		UNKNOWN
production-1957-vol1-57chapters	974	13802	13802	1302	1302
production-1957-vol1-57chapters	1031	13879	13879		UNKNOWN
production-1957-vol2-57chapters	695	21538	21538		UNKNOWN
production-1957-vol2-57chapters	863	23382	23382		UNKNOWN
production-1957-vol2-57chapters	880	23851	23851	2351	2351
production-1957-vol2-57chapters	897	23871	23871	2371	2371
production-1959-vol1-59chapters	359	41d	0		UNKNOWN
production-1959-vol2-chapters	261	13823	13823		NO_IMAGE
production-1959-vol2-chapters	273	13842	13842		NO_IMAGE
production-1959-vol2-chapters	299	13874	13874		NO_IMAGE
production-1959-vol2-chapters	353	14386	14386		NO_IMAGE
production-1961-vol1-61chapters	739	10638	10638	1063	10638
production-1961-vol1-61chapters	869	12338	12338		UNKNOWN
production-1961-vol2-chapters	49	13801	13801		UNKNOWN
production-1961-vol2-chapters	57	13810	13810		UNKNOWN
production-1961-vol2-chapters	165	14383	14383	1433	1433
production-1961-vol2-chapters	529	18438	18438		UNKNOWN
production-1963-vol1-63chapters	31	3d	0		UNKNOWN
production-1963-vol2-chapters	295	13873	13873		UNKNOWN
production-1963-vol2-chapters	300	13878	13878	1378	1378
production-1963-vol2-chapters	301	13879	13879		UNKNOWN
production-1963-vol2-chapters	303	13882	13882		UNKNOWN
production-1963-vol2-chapters	735	18386	18386		UNKNOWN
production-1963-vol2-chapters	736	18387	18387		UNKNOWN
production-1963-vol2-chapters	827	19387	19387	1937	1937
production-1963-vol2-chapters	1017	21438	21438		UNKNOWN
production-1965-vol2	585	11438	11438		UNKNOWN
production-1965-vol2	796	13877	13877	1377	1377
production-1965-vol2	801	13882	13882		UNKNOWN
production-1967-vol2	477	10388	10388		NO_IMAGE
production-1967-vol2	715	13812	13812		NO_IMAGE
production-1967-vol2	741	13838	13838		NO_IMAGE
production-1967-vol2	777	13878	13878		NO_IMAGE
production-1967-vol2	781	13838	13838		NO_IMAGE
production-1967-vol2	897	J517	2		NO_IMAGE
production-1967-vol2	912	10383	10383		NO_IMAGE
production-1968-vol2-chapters	64	10038	10038		UNKNOWN
production-1968-vol2-chapters	156	11338	11338		UNKNOWN
production-1968-vol2-chapters	179	11638	11638		UNKNOWN
production-1968-vol2-chapters	241	12438	12438		UNKNOWN
production-1968-vol2-chapters	317	13845	13845		UNKNOWN
production-1968-vol2-chapters	339	13874	13874		UNKNOWN
production-1971-vol1-chapters	768	9C7	100		UNKNOWN
production-1971-vol1-chapters	944	J120	2		UNKNOWN
production-1971-vol1-chapters	1033	12384	12384		UNKNOWN
production-1971-vol1-chapters	1034	d	500		UNKNOWN
production-1971-vol1-chapters	1062	i273	1		UNKNOWN
production-1971-vol1-chapters	1070	12288	12288		UNKNOWN
production-1971-vol2	14	132i	2	1321	1321
production-1971-vol2	79	140i	2		UNKNOWN
production-1971-vol2	106	14380	14380		UNKNOWN
production-1971-vol2	384	LT9T	52		UNKNOWN
production-1971-vol2	389	18038	18038		UNKNOWN
production-1975-vol1-chapters	129	i34	1		UNKNOWN
production-1977-vol3-chapters	3	12358	12358	1258	1258
production-1978-vol3	228	13872	13872		UNKNOWN
production-1979-vol3	49	10383	10383		UNKNOWN
production-1979-vol3	182	i201	2		UNKNOWN
production-1982-vol3	72	d	500		NO_IMAGE
production-1982-vol5	85	i615	2		UNKNOWN
production-1988-vol3	71	13138	13138		UNKNOWN
production-1988-vol3	118	13871	13871		UNKNOWN
production-1999-vol4	159	ty	1		UNKNOWN
