[2026-06-20 00:00 PT] INIT | visual-1939 campaign started | 33 missing chapters | OK
[2026-06-20 00:00 PT] MANIFEST | vol=production-1939-vol1-chapters pages=3270 images=3271 | OK
[2026-06-20 00:10 PT] IMAGE-CH920 | source_page=2591 image=page_2590 CHAPTER 920 confirmed (not in OCR scan; image clear) | OK
[2026-06-20 00:10 PT] IMAGE-CH935 | source_page=2638 image=page_2637 CHAPTER 935 confirmed (not in OCR scan; image clear) | OK
[2026-06-20 00:10 PT] IMAGE-CH946 | source_page=2661 image=page_2660 CHAPTER 946 confirmed (not in OCR scan; image clear) | OK
[2026-06-20 00:10 PT] IMAGE-CH1044 | source_page=2876 image=page_2875 CHAPTER 1044 STATUTES 1939 confirmed (referendum chapter) | OK
[2026-06-20 00:10 PT] IMAGE-CH1045 | source_page=2888 image=page_2887 CHAPTER 1045 confirmed (not in OCR scan; image clear) | OK
[2026-06-20 00:10 PT] IMAGE-CH1095 | source_page=3028 image=page_3027 CHAPTER 1095 confirmed (positional said ch1096 - image correct) | OK
[2026-06-20 00:10 PT] IMAGE-CH1103 | source_page=3038 image=page_3037 CHAPTER 1103 confirmed (positional said pg3039/ch1104 - 1 page off) | OK
[2026-06-20 00:15 PT] OUTPUT | wrote C:\PatoLex-scratch\production-1939-vol1-chapters\parsed_acts_visual.json | OK
[2026-06-20 00:15 PT] SUMMARY | targeted=33 verified=33 not_found=0 printed_number_mismatches=11 resolution_chapters=4 | OK
[2026-06-20 00:15 PT] DONE | 1939 visual recovery complete - all 33 chapters image-verified | OK
