token	freq	tier	category	suggestion
seventytwo	95	high_freq	NAMELIKE	
thesum	95	high_freq	NAMELIKE	
thorized	95	high_freq	TYPO	theorized
approprin	94	high_freq	NAMELIKE	
slungshot	93	high_freq	TYPO	slingshot
stahitorv	93	high_freq	NAMELIKE	
distnet	92	high_freq	NAMELIKE	
roadmasters	91	high_freq	NAMELIKE	
cceee	90	high_freq	GARBLE	
earried	90	high_freq	TYPO	carried
nonservice-connected	90	high_freq	NAMELIKE	
eeeeeeeeeee	89	high_freq	NOISE	
joun	89	high_freq	TYPO	jun
deukmbejian	88	high_freq	NAMELIKE	
salanes	88	high_freq	NAMELIKE	
twenty-cighth	88	high_freq	GARBLE	
vight	88	high_freq	TYPO	ight
onefourth	87	high_freq	NAMELIKE	
distributees	86	high_freq	TYPO	distributes
edness	86	high_freq	TYPO	redness
pescetti	86	high_freq	NAMELIKE	
xiiia	86	high_freq	TYPO	xiii
jobn	84	high_freq	TYPO	jon
subhaulers	84	high_freq	NAMELIKE	
heenses	83	high_freq	NAMELIKE	
nonservice	83	high_freq	NAMELIKE	
sunenor	82	high_freq	NAMELIKE	
nelap	81	high_freq	NAMELIKE	
tribution	81	high_freq	FRAGMENT	retribution
cnar	80	high_freq	TYPO	nar
penses	80	high_freq	TYPO	lenses
sixtyone	80	high_freq	NAMELIKE	
wueereeas	80	high_freq	GARBLE	
eneneeee	79	high_freq	NOISE	
iners	79	high_freq	TYPO	ines
innavigable	79	high_freq	NAMELIKE	
snech	79	high_freq	NAMELIKE	
trary	79	high_freq	TYPO	tray
ceeeeeeee	78	high_freq	NOISE	
pomt	78	high_freq	TYPO	pot
tpz	78	high_freq	TYPO	pz
mination	77	high_freq	FRAGMENT	contamination
registerable	77	high_freq	NAMELIKE	
eeeneeee	76	high_freq	NOISE	
mobilehome-manufactured	76	high_freq	NAMELIKE	
cceeeeee	75	high_freq	NOISE	
nonattorney	75	high_freq	NAMELIKE	
subvened	75	high_freq	NAMELIKE	
cnuct	74	high_freq	NAMELIKE	
deeree	73	high_freq	TYPO	deere
fricot	73	high_freq	NAMELIKE	
frora	73	high_freq	TYPO	fora
bered	72	high_freq	TYPO	bred
nondistrict	72	high_freq	NAMELIKE	
theretor	72	high_freq	TYPO	thereto
cedure	71	high_freq	FRAGMENT	procedure
deukmbjian	71	high_freq	NAMELIKE	
fiood	71	high_freq	TYPO	food
istration	71	high_freq	FRAGMENT	registration
jeases	71	high_freq	TYPO	eases
nejedly-hart	71	high_freq	NAMELIKE	
standardbreds	71	high_freq	NAMELIKE	
cortain	70	high_freq	TYPO	certain
eeeeeeeeeeee	70	high_freq	NOISE	
noncontracting	70	high_freq	NAMELIKE	
subpara	70	high_freq	TYPO	subpar
umted	70	high_freq	TYPO	muted
vendorization	70	high_freq	NAMELIKE	
wuerezas	70	high_freq	NAMELIKE	
nonrecycled	69	high_freq	NAMELIKE	
seventysix	69	high_freq	NAMELIKE	
trusteed	69	high_freq	TYPO	trusted
xijib	69	high_freq	NAMELIKE	
contaming	68	high_freq	NAMELIKE	
eeneeee	68	high_freq	NOISE	
etary	68	high_freq	TYPO	teary
sictta	68	high_freq	NAMELIKE	
subcustodian	68	high_freq	NAMELIKE	
cfis	67	high_freq	TYPO	fis
sectionized	67	high_freq	NAMELIKE	
sereen	67	high_freq	TYPO	screen
sinkyone	66	high_freq	NAMELIKE	
cceeeeeee	65	high_freq	NOISE	
eitv	65	high_freq	TYPO	itv
faet	65	high_freq	TYPO	fet
noncommunity	65	high_freq	NAMELIKE	
nongroup	65	high_freq	NAMELIKE	
asamby	64	high_freq	NAMELIKE	
atany	64	high_freq	NAMELIKE	
ccceee	64	high_freq	GARBLE	
empow	64	high_freq	FRAGMENT	empower
lishment	64	high_freq	FRAGMENT	establishment
ornia	64	high_freq	TYPO	omnia
nonglaring	63	high_freq	NAMELIKE	
panied	63	high_freq	TYPO	panned
posttrial	63	high_freq	NAMELIKE	
sixtysix	63	high_freq	NAMELIKE	
counse	62	high_freq	TYPO	course
inanner	62	high_freq	NAMELIKE	
nonreimbursable	62	high_freq	NAMELIKE	
perannum	62	high_freq	NAMELIKE	
phenylpiperidine	62	high_freq	NAMELIKE	
sixtytwo	62	high_freq	NAMELIKE	
calforma	61	high_freq	NAMELIKE	
ercek	61	high_freq	NAMELIKE	
hbrary	61	high_freq	GARBLE	
ifno	61	high_freq	TYPO	ino
jines	61	high_freq	TYPO	ines
nonpossessory	61	high_freq	NAMELIKE	
prograrn	61	high_freq	NAMELIKE	
calstars	60	high_freq	NAMELIKE	
ccceeee	60	high_freq	NOISE	
cratary	60	high_freq	NAMELIKE	
eation	60	high_freq	TYPO	eaton
lcast	60	high_freq	TYPO	cast
nonurbanized	60	high_freq	NAMELIKE	
reconveyed	60	high_freq	NAMELIKE	
tificates	60	high_freq	FRAGMENT	certificates
toadd	60	high_freq	TYPO	todd
aanestad	59	high_freq	NAMELIKE	
berg-nejedly	59	high_freq	NAMELIKE	
bronzan	59	high_freq	NAMELIKE	
eges	59	high_freq	TYPO	ages
employec	59	high_freq	TYPO	employed
eops	59	high_freq	TYPO	ops
executorships	59	high_freq	NAMELIKE	
nonaluminum	59	high_freq	NAMELIKE	
nonlegislative	59	high_freq	NAMELIKE	
ollice	59	high_freq	TYPO	ollie
rehef	59	high_freq	TYPO	reef
teense	59	high_freq	TYPO	tense
ceeeeeeeee	58	high_freq	NOISE	
fications	58	high_freq	TYPO	fictions
jamps	58	high_freq	TYPO	amps
nonwithdrawable	58	high_freq	NAMELIKE	
tributions	58	high_freq	FRAGMENT	contributions
anuum	57	high_freq	TYPO	annum
brary	57	high_freq	TYPO	bray
ccceeeee	57	high_freq	NOISE	
dohars	57	high_freq	NAMELIKE	
eeeeeees	57	high_freq	NOISE	
eneee	57	high_freq	GARBLE	
ercate	57	high_freq	NAMELIKE	
ereation	57	high_freq	TYPO	creation
guilucos	57	high_freq	NAMELIKE	
manv	57	high_freq	TYPO	mav
mmimum	57	high_freq	NAMELIKE	
nonproject	57	high_freq	NAMELIKE	
recodified	57	high_freq	NAMELIKE	
rights-ofway	57	high_freq	NAMELIKE	
sinte	57	high_freq	TYPO	inte
cuses	56	high_freq	TYPO	uses
nonprobate	56	high_freq	NAMELIKE	
calipatria	55	high_freq	NAMELIKE	
cighty-five	55	high_freq	NAMELIKE	
ehminating	55	high_freq	NAMELIKE	
nonaccepting	55	high_freq	NAMELIKE	
yead	55	high_freq	TYPO	ead
anee	54	high_freq	TYPO	nee
construet	54	high_freq	TYPO	construct
issuec	54	high_freq	TYPO	issue
nonparking	54	high_freq	NAMELIKE	
rolleall	54	high_freq	NAMELIKE	
subse	54	high_freq	TYPO	subs
constituphrase	53	high_freq	NAMELIKE	
enses	53	high_freq	TYPO	eases
firet	53	high_freq	TYPO	fret
hibited	53	high_freq	FRAGMENT	inhibited
inelnded	53	high_freq	NAMELIKE	
microphotographs	53	high_freq	NAMELIKE	
pletion	53	high_freq	FRAGMENT	depletion
ploqtam	53	high_freq	NAMELIKE	
subfranchisor	53	high_freq	NAMELIKE	
thority	53	high_freq	FRAGMENT	authority
cccee	52	high_freq	GARBLE	
counell	52	high_freq	TYPO	connell
jomtly	52	high_freq	GARBLE	
newsectin	52	high_freq	NAMELIKE	
phenylacetone	52	high_freq	NAMELIKE	
apml	51	high_freq	TYPO	pml
cytotechnologist	51	high_freq	NAMELIKE	
eraft	51	high_freq	TYPO	raft
newsecton	51	high_freq	NAMELIKE	
nondomiciliary	51	high_freq	NAMELIKE	
nonschool	51	high_freq	NAMELIKE	
onethird	51	high_freq	NAMELIKE	
penod	51	high_freq	NAMELIKE	
potition	51	high_freq	TYPO	petition
sonnel	51	high_freq	TYPO	sonnet
stamislaus	51	high_freq	TYPO	stanislaus
sxorion	51	high_freq	NAMELIKE	
tirne	51	high_freq	TYPO	tine
vards	51	high_freq	TYPO	ards
agement	50	high_freq	FRAGMENT	engagement
apnum	50	high_freq	TYPO	annum
appropriaappropriated	50	high_freq	NAMELIKE	
cleeted	50	high_freq	NAMELIKE	
gabilan	50	high_freq	NAMELIKE	
ifornia	50	high_freq	FRAGMENT	california
incorpora	50	high_freq	FRAGMENT	incorporate
neonatorum	50	high_freq	NAMELIKE	
sctc	50	high_freq	TYPO	ctc
semor	50	high_freq	TYPO	senor
annnm	49	high_freq	TYPO	annum
buperin	49	high_freq	NAMELIKE	
contamers	49	high_freq	NAMELIKE	
eeeeeeeeeeeee	49	high_freq	NOISE	
micrographics	49	high_freq	NAMELIKE	
neneeee	49	high_freq	NOISE	
nonemployee	49	high_freq	NAMELIKE	
omee	49	high_freq	TYPO	mee
ouly	49	high_freq	TYPO	duly
rightsof-way	49	high_freq	NAMELIKE	
deerce	48	high_freq	TYPO	deere
ecee	48	high_freq	TYPO	cee
jnly	48	high_freq	TYPO	only
nonrepairable	48	high_freq	NAMELIKE	
nonsworn	48	high_freq	NAMELIKE	
oddnumbered	48	high_freq	NAMELIKE	
reletting	48	high_freq	TYPO	resetting
xiti	48	high_freq	TYPO	iti
ccceeeeee	47	high_freq	NOISE	
eeeeees	47	high_freq	NOISE	
ercam	47	high_freq	NAMELIKE	
eusting	47	high_freq	TYPO	busting
n-ethylephedrine	47	high_freq	NAMELIKE	
preaddressed	47	high_freq	NAMELIKE	
thesaid	47	high_freq	NAMELIKE	
zanjas	47	high_freq	NAMELIKE	
acerned	46	high_freq	NAMELIKE	
deliverv	46	high_freq	TYPO	deliver
earrving	46	high_freq	TYPO	earring
erest	46	high_freq	TYPO	rest
lampara	46	high_freq	TYPO	lampard
lempert-keene-seastrand	46	high_freq	NAMELIKE	
mghts	46	high_freq	GARBLE	
mills-alquist-deddeh	46	high_freq	NAMELIKE	
n-methylephedrine	46	high_freq	NAMELIKE	
noncontract	46	high_freq	NAMELIKE	
odispo	46	high_freq	TYPO	obispo
aequiring	45	high_freq	TYPO	requiring
gations	45	high_freq	TYPO	cations
monagan	45	high_freq	TYPO	monahan
nondecay	45	high_freq	NAMELIKE	
nondelinquent	45	high_freq	NAMELIKE	
nonhospital	45	high_freq	NAMELIKE	
seventyone	45	high_freq	NAMELIKE	
eeeeeeeeees	44	high_freq	NOISE	
hearme	44	high_freq	TYPO	hearne
incorpo	44	high_freq	FRAGMENT	incorporate
nonprotected	44	high_freq	NAMELIKE	
steerers	44	high_freq	TYPO	steelers
uncler	44	high_freq	TYPO	uncle
vuich	44	high_freq	NAMELIKE	
xiia	44	high_freq	TYPO	iia
anveles	43	high_freq	TYPO	angeles
appropriain	43	high_freq	NAMELIKE	
cighty-three	43	high_freq	NAMELIKE	
coer	43	high_freq	TYPO	cer
drytown	43	high_freq	GARBLE	
hercinabove	43	high_freq	NAMELIKE	
istrator	43	high_freq	FRAGMENT	administrator
licensce	43	high_freq	TYPO	licence
nonmerit	43	high_freq	NAMELIKE	
terins	43	high_freq	TYPO	terns
bation	42	high_freq	TYPO	baton
butions	42	high_freq	TYPO	buttons
certineate	42	high_freq	NAMELIKE	
dihydrocodeinone	42	high_freq	NAMELIKE	
eeeeeeeeeeeeee	42	high_freq	NOISE	
heensee	42	high_freq	NAMELIKE	
nonconfining	42	high_freq	NAMELIKE	
onehundredths	42	high_freq	NAMELIKE	
rnade	42	high_freq	TYPO	reade
roncovieri	42	high_freq	NAMELIKE	
stule	42	high_freq	TYPO	soule
tified	42	high_freq	FRAGMENT	ratified
audiometrist	41	high_freq	NAMELIKE	
cahformia	41	high_freq	NAMELIKE	
depu	41	high_freq	TYPO	dep
domenigoni	41	high_freq	NAMELIKE	
eceeee	41	high_freq	NOISE	
exeented	41	high_freq	NAMELIKE	
fortytwo	41	high_freq	NAMELIKE	
honses	41	high_freq	TYPO	hoses
jtpa	41	high_freq	TYPO	tpa
nonassisted	41	high_freq	NAMELIKE	
pledgees	41	high_freq	TYPO	pledges
privatizer	41	high_freq	TYPO	privatize
rectly	41	high_freq	FRAGMENT	directly
rutes	41	high_freq	TYPO	utes
siskivou	41	high_freq	NAMELIKE	
statcs	41	high_freq	TYPO	stats
torth	41	high_freq	TYPO	toth
annim	40	high_freq	TYPO	anni
appropna	40	high_freq	NAMELIKE	
chises	40	high_freq	TYPO	crises
dations	40	high_freq	TYPO	cations
demulsifiers	40	high_freq	NAMELIKE	
elee	40	high_freq	TYPO	lee
exeention	40	high_freq	NAMELIKE	
inaking	40	high_freq	TYPO	inking
inws	40	high_freq	TYPO	nws
midpeninsula	40	high_freq	NAMELIKE	
misdemeanants	40	high_freq	NAMELIKE	
nonprepackaged	40	high_freq	NAMELIKE	
ppropria	40	high_freq	NAMELIKE	
revolv	40	high_freq	TYPO	revolt
audiometrists	39	high_freq	NAMELIKE	
btals	39	high_freq	NAMELIKE	
caminetti	39	high_freq	NAMELIKE	
compensability	39	high_freq	NAMELIKE	
cost-of-hving	39	high_freq	NAMELIKE	
displaved	39	high_freq	TYPO	displaced
forestwide	39	high_freq	NAMELIKE	
fortyone	39	high_freq	NAMELIKE	
inany	39	high_freq	TYPO	inane
levving	39	high_freq	TYPO	revving
ninetysix	39	high_freq	NAMELIKE	
nonerasable	39	high_freq	NAMELIKE	
nonfederally	39	high_freq	NAMELIKE	
nonpotable	39	high_freq	NAMELIKE	
reneal	39	high_freq	TYPO	renal
tations	39	high_freq	TYPO	cations
termof	39	high_freq	NAMELIKE	
uncreamed	39	high_freq	NAMELIKE	
appropriaotherwise	38	high_freq	NAMELIKE	
commander-in-chicf	38	high_freq	NAMELIKE	
culy	38	high_freq	TYPO	cul
fected	38	high_freq	FRAGMENT	defected
milias	38	high_freq	NAMELIKE	
nonhandicapped	38	high_freq	NAMELIKE	
nonpromotional	38	high_freq	NAMELIKE	
nonsmall	38	high_freq	NAMELIKE	
offunds	38	high_freq	TYPO	offends
proeceding	38	high_freq	TYPO	preceding
secunty	38	high_freq	NAMELIKE	
selpas	38	high_freq	NAMELIKE	
sucli	38	high_freq	NAMELIKE	
trar	38	high_freq	TYPO	rar
twentv-five	38	high_freq	NAMELIKE	
cerns	37	high_freq	TYPO	cern
counhes	37	high_freq	TYPO	couches
drawal	37	high_freq	TYPO	drawl
eeeeeeees	37	high_freq	NOISE	
incumbrancers	37	high_freq	NAMELIKE	
ional	37	high_freq	TYPO	iona
limita	37	high_freq	TYPO	limit
meorporated	37	high_freq	NAMELIKE	
neeee	37	high_freq	NOISE	
obliga	37	high_freq	TYPO	oblige
polico	37	high_freq	TYPO	polio
pupus	37	high_freq	TYPO	pups
saie	37	high_freq	TYPO	sie
setoffs	37	high_freq	NAMELIKE	
shobi-zue	37	high_freq	NAMELIKE	
sisting	37	high_freq	TYPO	siting
subdistributor	37	high_freq	NAMELIKE	
twonty-five	37	high_freq	NAMELIKE	
wuheereeas	37	high_freq	NAMELIKE	
cightcon	36	high_freq	NAMELIKE	
clate	36	high_freq	TYPO	late
douars	36	high_freq	NAMELIKE	
dupheate	36	high_freq	NAMELIKE	
ereating	36	high_freq	TYPO	creating
inholding	36	high_freq	NAMELIKE	
lishing	36	high_freq	TYPO	dishing
pandalus	36	high_freq	NAMELIKE	
paranzella	36	high_freq	NAMELIKE	
pohcy	36	high_freq	NAMELIKE	
prelicensing	36	high_freq	NAMELIKE	
safco	36	high_freq	TYPO	sacco
srcrron	36	high_freq	GARBLE	
stiern	36	high_freq	TYPO	stern
ticular	36	high_freq	TYPO	titular
uary	36	high_freq	TYPO	ary
viving	36	high_freq	TYPO	diving
acknowl	35	high_freq	FRAGMENT	acknowledge
actentitled	35	high_freq	NAMELIKE	
cccceee	35	high_freq	NOISE	
dcem	35	high_freq	TYPO	cem
direeter	35	high_freq	NAMELIKE	
ecnter	35	high_freq	TYPO	enter
erties	35	high_freq	FRAGMENT	liberties
lowand	35	high_freq	TYPO	lowland
mcsheehy	35	high_freq	NAMELIKE	
mumber	35	high_freq	TYPO	dumber
mumeipal	35	high_freq	NAMELIKE	
niust	35	high_freq	TYPO	nist
nonclassroom	35	high_freq	NAMELIKE	
notwith	35	high_freq	FRAGMENT	notwithstanding
ottice	35	high_freq	NAMELIKE	
rected	35	high_freq	TYPO	rented
remaming	35	high_freq	TYPO	renaming
sattley	35	high_freq	NAMELIKE	
venience	35	high_freq	FRAGMENT	convenience
water-closct	35	high_freq	NAMELIKE	
catheterizations	34	high_freq	NAMELIKE	
condnet	34	high_freq	NAMELIKE	
cuapr	34	high_freq	NAMELIKE	
enenenee	34	high_freq	GARBLE	
lighth	34	high_freq	TYPO	light
mackerricher	34	high_freq	NAMELIKE	
n-ethylpseudoephedrine	34	high_freq	NAMELIKE	
noncredentialed	34	high_freq	NAMELIKE	
nonissuer	34	high_freq	NAMELIKE	
nonmanagement	34	high_freq	NAMELIKE	
onetwelfth	34	high_freq	NAMELIKE	
prezoned	34	high_freq	NAMELIKE	
priations	34	high_freq	FRAGMENT	appropriations
ramento	34	high_freq	FRAGMENT	sacramento
reflectorizing	34	high_freq	NAMELIKE	
sively	34	high_freq	TYPO	lively
subdi	34	high_freq	FRAGMENT	subdivided
ticable	34	high_freq	FRAGMENT	practicable
trahern	34	high_freq	NAMELIKE	
asamb	33	high_freq	TYPO	asami
avpropria	33	high_freq	NAMELIKE	
bronzan-mccorquodale	33	high_freq	NAMELIKE	
cighty-nine	33	high_freq	NAMELIKE	
disineorporation	33	high_freq	NAMELIKE	
eeeeeeeees	33	high_freq	NOISE	
eightyone	33	high_freq	NAMELIKE	
errone	33	high_freq	FRAGMENT	erroneous
ié	33	high_freq	TYPO	ia
maxe	33	high_freq	TYPO	axe
ninetytwo	33	high_freq	NAMELIKE	
nouce	33	high_freq	TYPO	nonce
pohtical	33	high_freq	TYPO	poetical
preced	33	high_freq	TYPO	pieced
preventoriums	33	high_freq	NAMELIKE	
right-ofway	33	high_freq	NAMELIKE	
somoma	33	high_freq	TYPO	sonoma
vame	33	high_freq	TYPO	ame
xiji	33	high_freq	TYPO	xii
cancella	32	high_freq	FRAGMENT	cancellation
cighty-two	32	high_freq	NAMELIKE	
comphed	32	high_freq	NAMELIKE	
dbcp	32	high_freq	TYPO	dcp
disenroll	32	high_freq	NAMELIKE	
drodelabi	32	high_freq	NAMELIKE	
ehminate	32	high_freq	NAMELIKE	
havenner	32	high_freq	NAMELIKE	
heeome	32	high_freq	GARBLE	
japatul	32	high_freq	NAMELIKE	
mbursement	32	high_freq	FRAGMENT	reimbursement
naines	32	high_freq	TYPO	nines
ninetyone	32	high_freq	NAMELIKE	
nonbypassable	32	high_freq	NAMELIKE	
nonrecreational	32	high_freq	NAMELIKE	
onv	32	high_freq	TYPO	nv
poliev	32	high_freq	NAMELIKE	
preexpulsion	32	high_freq	NAMELIKE	
prequalifying	32	high_freq	NAMELIKE	
replanked	32	high_freq	NAMELIKE	
sircet	32	high_freq	NAMELIKE	
tising	32	high_freq	TYPO	rising
trative	32	high_freq	FRAGMENT	administrative
turer	32	high_freq	TYPO	purer
unnum	32	high_freq	TYPO	annum
venient	32	high_freq	TYPO	lenient
vood	32	high_freq	TYPO	ood
warreas	32	high_freq	NAMELIKE	
yoats	32	high_freq	TYPO	oats
appropriathereof	31	high_freq	NAMELIKE	
cccceeee	31	high_freq	NOISE	
cccceeeeee	31	high_freq	NOISE	
cecee	31	high_freq	TYPO	cece
ceeeeeeeeee	31	high_freq	NOISE	
cighty-one	31	high_freq	NAMELIKE	
courity	31	high_freq	NAMELIKE	
demnation	31	high_freq	TYPO	damnation
diphenoxylate	31	high_freq	NAMELIKE	
eeeeeeeeeeeeeee	31	high_freq	NOISE	
elverta	31	high_freq	NAMELIKE	
eneeeeeee	31	high_freq	NOISE	
fiftysix	31	high_freq	NAMELIKE	
inefect	31	high_freq	TYPO	infect
inonth	31	high_freq	NAMELIKE	
inurnment	31	high_freq	NAMELIKE	
keting	31	high_freq	TYPO	keying
n-methylpseudoephedrine	31	high_freq	NAMELIKE	
posals	31	high_freq	FRAGMENT	proposals
pror	31	high_freq	TYPO	ror
punnd	31	high_freq	NAMELIKE	
tants	31	high_freq	TYPO	ants
tchama	31	high_freq	NAMELIKE	
appropriadollars	30	high_freq	NAMELIKE	
ccccee	30	high_freq	NOISE	
cceeeeeeeeee	30	high_freq	NOISE	
cighty-eight	30	high_freq	NAMELIKE	
cighty-seven	30	high_freq	NAMELIKE	
cnter	30	high_freq	TYPO	enter
corbina	30	high_freq	TYPO	corbin
duplissea	30	high_freq	NAMELIKE	
eece	30	high_freq	TYPO	ece
erans	30	high_freq	TYPO	eras
ethy	30	high_freq	TYPO	thy
exeente	30	high_freq	NAMELIKE	
ilouse	30	high_freq	TYPO	louse
khandahar	30	high_freq	TYPO	kandahar
mapin	30	high_freq	TYPO	main
mdicated	30	high_freq	TYPO	medicated
misassignment	30	high_freq	NAMELIKE	
mmor	30	high_freq	TYPO	mor
mobilehomes-manufactured	30	high_freq	NAMELIKE	
nincty-six	30	high_freq	NAMELIKE	
noncivil	30	high_freq	NAMELIKE	
omees	30	high_freq	TYPO	omens
pohey	30	high_freq	TYPO	pokey
promded	30	high_freq	TYPO	prodded
reroofed	30	high_freq	NAMELIKE	
rimpau	30	high_freq	NAMELIKE	
seeeeee	30	high_freq	NOISE	
stepd	30	high_freq	TYPO	step
subeontainer	30	high_freq	NAMELIKE	
svon	30	high_freq	TYPO	von
yoio	30	high_freq	TYPO	yoo
appheations	29	high_freq	NAMELIKE	
approveecretary	29	high_freq	NAMELIKE	
caar	29	high_freq	TYPO	aar
cawelo	29	high_freq	TYPO	canelo
certiteate	29	high_freq	NAMELIKE	
dipheny	29	high_freq	NAMELIKE	
eceeeeee	29	high_freq	NOISE	
eeeneeeeeeeees	29	high_freq	NOISE	
ficers	29	high_freq	TYPO	fibers
fisea	29	high_freq	TYPO	fisa
frori	29	high_freq	NAMELIKE	
halepense	29	high_freq	NAMELIKE	
iment	29	high_freq	TYPO	ment
indorsers	29	high_freq	TYPO	indorser
lacmta	29	high_freq	NAMELIKE	
mecorquodale	29	high_freq	NAMELIKE	
onginal	29	high_freq	NAMELIKE	
retums	29	high_freq	NAMELIKE	
ribier	29	high_freq	NAMELIKE	
ruary	29	high_freq	FRAGMENT	february
sloners	29	high_freq	TYPO	sooners
solidated	29	high_freq	FRAGMENT	consolidated
suea	29	high_freq	TYPO	sea
therecn	29	high_freq	TYPO	therein
whese	29	high_freq	TYPO	these
aecording	28	high_freq	TYPO	recording
annlv	28	high_freq	NAMELIKE	
