[2026-06-21 00:00 PT] INIT | visual-1982 campaign started | 58 missing chapters across 5 volumes | OK
[2026-06-21 00:00 PT] PLAN | vol1=5 missing (ch29,304,305,307,327), vol2=4 (ch395,686,745,746), vol3=3 (ch793,1088,1229), vol4=44 (ch1238-1508), vol5=2 (ch1522,1548) | OK
[2026-06-21 00:45 PT] VOL4/CH1350 | source_page=507, image_verified=True (multi-chapter page with ch1351) | OK
[2026-06-21 00:45 PT] VOL4/CH1363 | source_page=533, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1372 | source_page=715, image_verified=True (multi-chapter page: ch1372+ch1373 both start page 715) | OK
[2026-06-21 00:45 PT] VOL4/CH1374 | source_page=719, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1384 | source_page=746, image_verified=True (multi-chapter page with ch1385) | OK
[2026-06-21 00:45 PT] VOL4/CH1392 | source_page=771, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1393 | source_page=772, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1405 | source_page=825, image_verified=True (multi-chapter page with ch1406) | OK
[2026-06-21 00:45 PT] VOL4/CH1414 | source_page=871, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1416 | source_page=882, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1424 | source_page=918, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1431 | source_page=936, image_verified=True (multi-chapter page with ch1432) | OK
[2026-06-21 00:45 PT] VOL4/CH1442 | source_page=972, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1447 | source_page=983, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1448 | source_page=991, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1452 | source_page=1016, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1453 | source_page=1029, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1468 | source_page=1123, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1469 | source_page=1128, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1477 | source_page=1152, image_verified=True (multi-chapter page with ch1478) | OK
[2026-06-21 00:45 PT] VOL4/CH1497 | source_page=1265, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1500 | source_page=1289, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1503 | source_page=1298, image_verified=True | OK
[2026-06-21 00:45 PT] VOL4/CH1508 | source_page=1317, image_verified=True | OK
[2026-06-21 00:45 PT] VOL5/CH1522 | source_page=9, image_verified=True | OK
[2026-06-21 00:45 PT] VOL5/CH1548 | source_page=138, image_verified=True | OK
[2026-06-21 00:50 PT] SUMMARY | 58 total missing: 56 image_verified + 2 OCR-only (vol3 ch793/ch1088 no images available) | 0 legislative_gap | 2 not_found_needs_reocr (vol3 only) | Writing output files | OK
[2026-06-21 00:55 PT] OUTPUT | vol1: parsed_acts_visual.json (4 acts) | vol2: parsed_acts_visual.json (5 acts incl ch327+ch746 boundary crosses) | vol3: parsed_acts_visual.json (3 acts, 2 need reocr) | vol4: parsed_acts_visual.json (44 acts) | vol5: parsed_acts_visual.json (2 acts) | OK
[2026-06-21 00:55 PT] NOTE | Vol3 pages_raw/pages_prep_gray directories do NOT exist -- image files were never extracted or were deleted. Ch793 and ch1088 cannot be image-verified until vol3 images are re-extracted. | WARN
[2026-06-21 00:55 PT] NOTE | Multiple OCR misread patterns found: (1) page 945 vol1 OCR read 'CHAPTER 306' when image shows 'CHAPTER 300' -- misread last digit; (2) multiple chapter headers missed entirely (all 3 engines); (3) vol boundary crossings where chapter starts in different vol than lo_ch (ch327: vol1->vol2, ch746: vol2->vol3, ch1229: vol3->vol4). | WARN
[2026-06-21 00:55 PT] COMPLETE | 1982 visual recovery campaign done | OK
