vol	order	raw	ocr	source_page	img_5090	reason	title
production-1867-68	409	DXLY	540	795	N	fill_disagrees(ocr=540,fill=545)	An Act to extend the time of the corporation of the Soda Springs and
production-1869-70	26	XXXY	30	104	N	fill_disagrees(ocr=30,fill=35)	An Act to change the principal place of business of the San Justo
production-1869-70	44	LYIII	53	128	N	fill_disagrees(ocr=53,fill=57)	An Act to legalize the name of Lake Bigler.
production-1869-70	82	CXI1V	115	170	N	fill_disagrees(ocr=115,fill=112)	An Act to tranafer certain funds to the Common Srhoul Fund of the
production-1869-70	91	CXXVITII	129	186	N	fill_disagrees(ocr=129,fill=126)	An Act to fix and regulate the salaries of the Aulitor’s Clerk and the
production-1869-70	104	CXMIL	1092	209	N	fill_disagrees(ocr=1092,fill=141)	An Act to confer additional powers on the Board of Supervisors of
production-1869-70	106	CXLYV	145	262	N	restart_or_decrease(163->146)	An Act to regulate fees and salaries of officers und defining their
production-1869-70	115	CLY	150	285	N	fill_disagrees(ocr=150,fill=154)	An Act to authorize the Mayor awl Common Council of the City of
production-1869-70	129	CLXXY	170	305	N	fill_disagrees(ocr=170,fill=174)	An Act for the regulation of sailors’ boarding houses and of shipping
production-1869-70	137	CXCLIL	242	360	N	fill_disagrees(ocr=242,fill=191)	an Act concerning Notarics Public in the County of San Joaquin.
production-1869-70	140	CCl	201	367	N	fill_disagrees(ocr=201,fill=201)	An Act amendatory of and supplementary to an Act entitled an Act
production-1869-70	143	CCY	200	370	N	fill_disagrees(ocr=200,fill=205)	An Act to amend section four of an Act entitled an Act lo provide for
production-1869-70	186	CCLXXXY	280	458	N	fill_disagrees(ocr=280,fill=283)	An Act to authorize the Bourd of Supervsors uf Humboldt County to
production-1869-70	212	CCCXXXY	330	506	N	fill_disagrees(ocr=330,fill=335)	An Aet to locate the county seat for the County of Lake.
production-1869-70	233	CCCXCLY	440	614	N	fill_disagrees(ocr=440,fill=391)	An Act to pay the claim of Thomas R. Elidredye.
production-1869-70	263	CCCCLY	450	726	N	fill_disagrees(ocr=450,fill=453)	An Act to amend an Act entitled un Art to regulate proceedings in
production-1869-70	271	CCCCXCY	490	788	N	fill_disagrees(ocr=490,fill=491)	. An Act to provide that certain Acts herein named shall take effect
production-1869-70	316	DIL	502	886	N	fill_disagrees(ocr=502,fill=503)	An Act to provide for the formation of corporations for certain
production-1869-70	330	DLXXT	571	938	N	fill_disagrees(ocr=571,fill=572)	An Act to amend section nine of an Act entitled un Act to amend an
production-1869-70	332	DLXXY	570	942	N	restart_or_decrease(624->564)	An Act supplementary to an Act entitled an Act to provide for the
production-1871-72	58	LXXYV	75	169	N	restart_or_decrease(524->76)	An Act legalizing the ordinances of the City of Oakland, in respect
production-1871-72	79	CIY	101	191	N	fill_disagrees(ocr=101,fill=103)	An Act to facilitate telegraphic communication between America
production-1871-72	113	CLIYV	154	263	N	restart_or_decrease(200->158)	An Act for the relief of Henry Kohn.
production-1871-72	114	CLYVI	156	264	N	restart_or_decrease(200->158)	An Act for the payment of the salary of the late Royal T. Sprague,
production-1871-72	115	CLYII	152	264	N	restart_or_decrease(200->158)	An Act to amend an Act entitled an Act to establish and define the
production-1871-72	145	CCY	200	337	N	fill_disagrees(ocr=200,fill=205)	An Act to amend an Act entitled an Act concerning roads and high-
production-1871-72	146	CCYI	201	338	N	fill_disagrees(ocr=201,fill=206)	An Act supplemental to and amendatory of an Act entitled an Act to
production-1871-72	175	CCXLY	240	410	N	fill_disagrees(ocr=240,fill=245)	An Act authorizing the Board of Supervisors of Tudlumne County
production-1871-72	200	CCXCIY	291	487	N	fill_disagrees(ocr=291,fill=292)	An Act to provide for the condemnation of lands for road purposes in
production-1871-72	235	CCCXLY	340	565	N	fill_disagrees(ocr=340,fill=342)	An Act to authorize the transfer to the General Fund of money in
production-1871-72	247	CCCLXY	360	605	N	fill_disagrees(ocr=360,fill=362)	An Act to amend an Act entitled an Act concerning roads and high-
production-1871-72	285	CCCCXLIL	442	743	N	restart_or_decrease(460->444)	An Act concerning public wharves.
production-1871-72	292	CCCCLY	450	770	N	fill_disagrees(ocr=450,fill=455)	An Act to add an additional section to the Penal Code.
production-1871-72	296	CCCCLXY	460	783	N	fill_disagrees(ocr=460,fill=461)	An Act supplementary to and explanatory of the Act approved March
production-1871-72	309	DIY	501	822	N	fill_disagrees(ocr=501,fill=503)	An Act to facilitate and increase the collection of State and county
production-1871-72	332	DXXXIY	531	855	N	fill_disagrees(ocr=531,fill=533)	An Act to authorize the Board of Supervisors of Plumas County to
production-1871-72	335	DXLY	540	877	N	fill_disagrees(ocr=540,fill=542)	An Act to authorize the Board of Supervisors of El Dorado County
production-1871-72	341	DIL	502	881	N	fill_disagrees(ocr=502,fill=551)	An Act concerning the office of Sheriff of Humboldt County.
production-1871-72	355	DLXXYV	575	929	N	restart_or_decrease(1024->580)	An Act to except certain counties from certain sections of an Act
production-1873-74	14	XXY	20	113	N	fill_disagrees(ocr=20,fill=25)	An Act to amend an Act entitled “An Act to reincorporate the City
production-1873-74	19	XXXY	30	121	N	fill_disagrees(ocr=30,fill=34)	An Act to confer additional powers upon the Board of Supervisors .
production-1873-74	32	LYL	100	144	N	fill_disagrees(ocr=100,fill=53)	An Act to reincorporate the Town of San Buenaventura, and
production-1873-74	58	XCIY	91	193	N	fill_disagrees(ocr=91,fill=94)	An Act to amend an Act entitled an Act concerning roads in the
production-1873-74	77	CXY	110	229	N	fill_disagrees(ocr=110,fill=115)	An Act to provide for the appointment of an additional Notary Pub-
production-1873-74	93	CXXXY	130	264	N	fill_disagrees(ocr=130,fill=135)	An Aet to fix the salaries of certain officers in Mendocino County.
production-1873-74	141	CCXYL	240	410	N	fill_disagrees(ocr=240,fill=215)	- An Act to allow the San Diego and Arizona Mining Company to
production-1873-74	151	CCXXXIY	231	428	N	fill_disagrees(ocr=231,fill=234)	- An Act ratifying and confirming action of the City Council of the
production-1873-74	164	CCLY	250	441	N	fill_disagrees(ocr=250,fill=255)	An Act for the incorporation of the Town of Wheatland, Yuba
production-1873-74	206	CCCXXXY	330	582	N	fill_disagrees(ocr=330,fill=335)	"An Act to quiet title to certain lands in Yolo County.
production-1873-74	219	CCCLY	350	607	N	fill_disagrees(ocr=350,fill=354)	An Act supplemental to an Act entitled an Act to create the County
production-1873-74	221	CCCLYII	352	609	N	fill_disagrees(ocr=352,fill=357)	An Act to provide for the return to the State Treasury and cancel-
production-1873-74	239	CCCCYII	402	671	N	fill_disagrees(ocr=402,fill=407)	An Act for the relief of David C. Norcross, Sheriff of San Luis
production-1873-74	252	CCCCXLY	440	711	N	fill_disagrees(ocr=440,fill=445)	SL) An Act concerning submarine sites for lighthouses and other aids to
production-1873-74	263	CCCCLXY	460	787	N	fill_disagrees(ocr=460,fill=462)	An Act to provide for the payment of the deficiency in the salaries
production-1873-74	269	CCCCXCY	490	812	N	fill_disagrees(ocr=490,fill=493)	An Act to amend an Act entitled “An Act to allow certain per-
production-1873-74	274	DIY	501	822	N	fill_disagrees(ocr=501,fill=502)	An Act regulating the fees of witnesses in criminal cases in Stan-
production-1873-74	294	DXXYVILI	575	852	N	fill_disagrees(ocr=575,fill=524)	An Act toamend an Act entitled ‘An Act concerning roads and high-
production-1873-74	300	DXXXY	530	862	N	fill_disagrees(ocr=530,fill=533)	An Act to provide for the construction of a railroad from Inde-
production-1873-74	318	DILXXYV	574	897	N	restart_or_decrease(574->528)	An Act to authorize the City and County of San Francisco to pro-
production-1873-74	319	DIXXYII	521	906	N	restart_or_decrease(574->528)	An Act to redistrict the County of Tehama, and to reorganize the
production-1873-74	328	DCTIII	604	935	N	fill_disagrees(ocr=604,fill=601)	An Act authorizing the City of Oakland to issue and sell bonds of
production-1873-74	335	DCXY	610	949	N	fill_disagrees(ocr=610,fill=612)	An Act to prevent the trespassing of animals upon private property
production-1873-74	361	DCLYIII	653	999	N	fill_disagrees(ocr=653,fill=657)	“" An Act in relation to the government of the County of Sacramento.
production-1875-76	50	d	500	109	N	fill_disagrees(ocr=500,fill=68)	Cuar. LX VIII —An Act regulating the salaries of certain
production-1875-76	79	CXI1	112	145	N	fill_disagrees(ocr=112,fill=110)	Cuap. CXI1—An Act to [® the compensation of the County
production-1875-76	291	DVIT	507	827	N	restart_or_decrease(550->509)	Cuap. DVIT.—An Aet to open, establish, grade, and macadanuze
production-1875-76	337	DLXXITIL	574	923	N	fill_disagrees(ocr=574,fill=572)	Cuap. DLXXITIL—An Act to confer further powers on the
production-1877-78	1	1V	4	70	N	restart_or_decrease(252->5)	Cuap. 1V.—An Act to repeal an Act entitled an Act to
production-1877-78	41	LITIL	54	140	N	fill_disagrees(ocr=54,fill=52)	Cuar. LITIL—An Act declaring Sonoma River, in Sonoma
production-1877-78	48	LXITIL	64	147	N	fill_disagrees(ocr=64,fill=62)	Cuap. LXITIL—An Aet to repeal an Act entitled an Act to pre-
production-1880	33	XXXVITIL	39	74	N	fill_disagrees(ocr=39,fill=37)	An. Act to repeal an Act entitled “ An Act in relation to the office
production-1880	106	CXXIITI	124	184	N	fill_disagrees(ocr=124,fill=122)	An Act prescribing the form of complaint in actions to recover
production-1881	59	LXXVI1	77	135	N	fill_disagrees(ocr=77,fill=74)	An Act to provide for the purchase of additional grounds for the
production-1883-84-regular	42	LIY	51	329	N	fill_disagrees(ocr=51,fill=53)	An Act to amend an Act entitled “An Act to provide fer the
production-1885-86	88	CVTILI	156	142	N	fill_disagrees(ocr=156,fill=108)	An Act to amend section three thousand seven hundred and cighty-
production-1887	126	CXLY	140	210	N	fill_disagrees(ocr=140,fill=143)	An Act to provide for the deficiency in the appropriation the
production-1887	157	CLXXXTI	182	287	N	fill_disagrees(ocr=182,fill=182)	An Act to appropriate money to pay the claim of Richard Cole-
production-1889	132	CLVIIL	158	232	N	restart_or_decrease(205->159)	An Act to authorize the Board of State Harbor Commissioners to
production-1889	173	CCVITI	208	359	N	restart_or_decrease(255->209)	An Act to increase the nwmber of clerks for the limited period
production-1889	206	CCLVITII	259	445	N	restart_or_decrease(305->259)	An Act to amend sections seven hundred and fifty-two, seven hun-
production-1889	208	CCLXI1	262	455	N	fill_disagrees(ocr=262,fill=260)	An Act authorizing the incurring of indebtedness by cities, towns,
production-1889	211	CCLXY	260	469	N	fill_disagrees(ocr=260,fill=264)	An Act to amend an Act entitled “An Act to protect and promote
production-1891	55	Li	51	112	N	fill_disagrees(ocr=51,fill=60)	An Act concerning the costs in civil actions for serving sum-
production-1891	170	CXCY	190	334	N	fill_disagrees(ocr=190,fill=194)	An Act to add a new section to the Code of Civil Procedure, said
production-1891	176	CCTIII	204	338	N	fill_disagrees(ocr=204,fill=202)	An Act making an appropriation to pay the Assistant Journal
production-1893	31	XXXITII	34	104	N	fill_disagrees(ocr=34,fill=32)	An Act appropriating the sum of three thousand five hundred
production-1895	143	CLITII	154	213	N	fill_disagrees(ocr=154,fill=152)	An Act to provide for payment of the claim of James A. Kearney.
production-1897	22	XXY	20	77	N	fill_disagrees(ocr=20,fill=24)	An Act concerning bridges across navigable streams.
production-1899	36	XLY	40	103	N	fill_disagrees(ocr=40,fill=43)	An act to add a new section to the Political Code, to be known
production-1899	50	LXY	60	136	N	fill_disagrees(ocr=60,fill=61)	An act to ascertain and pay armory rents, armorers’ wages, and
production-1899	102	CXXXVIIL	138	232	N	fill_disagrees(ocr=138,fill=136)	An act to appropriate the sum of $21.50 to pay the claim of
production-1899	107	CXLITII	144	237	N	fill_disagrees(ocr=144,fill=142)	An act making an appropriation to pay the claim of Clement
production-1899	109	CXLY	140	238	N	fill_disagrees(ocr=140,fill=145)	An act to appropriate the swm of $1,000 to pay the claim of John
production-1899	169	CCXY	210	274	N	fill_disagrees(ocr=210,fill=214)	An act to appropriate the sum of $250 to pay the claim of Sun
production-1900-01	52	LXY	60	142	N	fill_disagrees(ocr=60,fill=65)	An act to appropriate $1,015.00 to pay the claim of Thomas D.
production-1900-01	198	CCXLIL	242	858	N	fill_disagrees(ocr=242,fill=238)	An act making an appropriation to pay the deficiency in the
production-1900-01	229	CCLXXY	270	882	N	fill_disagrees(ocr=270,fill=275)	An act to provide for the erection of a modern hospital building
production-1903	38	XLIY	41	117	N	fill_disagrees(ocr=41,fill=44)	An act to amend section thirteen hundred and sixty-six of the
production-1903	149	CLXXITI	173	261	N	restart_or_decrease(220->176)	An act amending section 1874 of the Political Code, providing
production-1903	150	CLXXY	170	266	N	restart_or_decrease(220->176)	An act appropriating money for the purchase of bedding, furni-
production-1903	235	CCLXXY	270	468	N	fill_disagrees(ocr=270,fill=275)	An act to prevent injury to oil or petroleum bearing strata or
production-1903	248	CCXCITI	293	489	N	restart_or_decrease(340->294)	An act to provide for the completion of the modern hospital
production-1903	280	CCCXXXIY	331	519	N	fill_disagrees(ocr=331,fill=332)	An act making an appropriation to pay a judgment for the swm
production-1903	305	CCCLXVIi	367	585	N	restart_or_decrease(405->369)	. An act making an appropriation of $6,000, for improving and
production-1905	40	XTIV	15	89	Y	restart_or_decrease(91->45)	An act to amend section 1, of an act entitled ‘‘ An act to amend .
production-1905	202	CCX1LI	260	269	Y	fill_disagrees(ocr=260,fill=241)	An act to appropriate eight hundred and fifteen dollars to pay
production-1905	450	DLXITII	564	779	Y	fill_disagrees(ocr=564,fill=562)	An act making appropriations for the support of the govern-
production-1905	458	d	500	813	Y	fill_disagrees(ocr=500,fill=571)	An act to amend sections eleven hundred and mimnety-one,
production-1905	465	DLXXXI1I	583	835	Y	fill_disagrees(ocr=583,fill=581)	An act to amend the Political Code by adding thereto a new
production-1910-11	27	d4	500	121	N	fill_disagrees(ocr=500,fill=53)	An act to amend section two and section fourteen of an act
production-1910-11	29	9d7	500	125	N	fill_disagrees(ocr=500,fill=56)	An act to amend section one (1) of an act entitled, ‘‘An act
production-1910-11	267	d1d	999	1104	N	fill_disagrees(ocr=999,fill=513)	An act to provide a heating furnace for the state pathological
production-1927-vol1-chapters	701	8il	2	1617	Y	fill_disagrees(ocr=2,fill=811)	An act to amend section four thousand two hundred seveniy-
production-1935-vol1-chapters	90	10d	0	413	Y	fill_disagrees(ocr=0,fill=105)	Stats 1931, An act to amend section 1554 of the Probate Code, relating to
production-1941-vol1-41chapters	681	11382	11382	2442	Y	fill_disagrees(ocr=11382,fill=1131)	An act to amend Section 1179 of the Fish and Game Code, Stats 1933
production-1941-vol1-41chapters	728	d	500	2586	Y	fill_disagrees(ocr=500,fill=1205)	An act to amend Sections 19008, 19009, 19010, 19016, 19018, Stats, 1987
production-1943-vol1-chapters	712	i019	2	2851	N	fill_disagrees(ocr=2,fill=1018)	Stats 1943, An act to amend Section 8202 of the Government Code, relat-
production-1945-vol1-chapters	964	T1905	2	1945	Y	fill_disagrees(ocr=2,fill=1195)	An act to rcpeal Scction 114 of, and to add Section 114 to, the
production-1945-vol1-chapters	1040	13800	13800	2148	Y	fill_disagrees(ocr=13800,fill=1305)	An act to add Section 352.5 to the Political Code, relating to
production-1945-vol1-chapters	1089	13870	13870	2252	Y	fill_disagrees(ocr=13870,fill=1369)	An act to amend Section 72 of the Unemployment Insurance Stats 1935
production-1945-vol1-chapters	1095	13878	13878	2262	Y	restart_or_decrease(1877->1379)	An act to amend Section 158 of the Business and Professions
production-1945-vol1-chapters	1099	13838	13838	2273	Y	restart_or_decrease(1882->1385)	An act to amend Sections 8552, 8553, 8554, 8555, 8556 and 8557
production-1945-vol1-chapters	1110	13899	13899	2304	Y	fill_disagrees(ocr=13899,fill=1398)	An act relating to State lands, making demand for payment of
production-1945-vol1-chapters	1121	I4t2	2	2357	Y	fill_disagrees(ocr=2,fill=1413)	An act making 12 appronriation to be expended pursuant to
production-1945-vol1-chapters	1135	14389	14389	2412	Y	restart_or_decrease(1488->1440)	An act making an appropriation for the establishment of fish
production-1947-vol1-chapters	922	10386	10386	1835	Y	restart_or_decrease(1085->1037)	An aet to amend Section 156.5 of the Vehicle Code, relating to
production-1949-vol1-chapters	773	10438	10438	1937	Y	fill_disagrees(ocr=10438,fill=1041)	An act to add Chapter 1a to Division 2 to, and to repeal Section
production-1949-vol1-chapters	926	12386	12386	2167	Y	fill_disagrees(ocr=12386,fill=1235)	An act making an appropriation for the support of the State
production-1951-vol1-chapters	453	611i	3	1653	N	fill_disagrees(ocr=3,fill=611)	An act to amend Section 803.5 of the Agricultural Code, relating
production-1951-vol2-chapters	10	10380	10380	48	Y	fill_disagrees(ocr=10380,fill=1035)	An act to repeal Section 7504 of the Public Utilaties Code, de-
production-1951-vol2-chapters	11	10387	10387	48	Y	fill_disagrees(ocr=10387,fill=1036)	An act to repeal Section 7502 of the Public Utilities Code, re-
production-1951-vol2-chapters	201	12638	12638	435	Y	fill_disagrees(ocr=12638,fill=1261)	An act to amend Sections 19601, 19601.5, 19001 6, 19607, 19608,
production-1951-vol2-chapters	252	13828	13828	499	Y	fill_disagrees(ocr=13828,fill=1327)	An act to amend Section 755 of the Political Code and Section
production-1953-vol2-chapters	640	17738	17738	986	Y	fill_disagrees(ocr=17738,fill=1772)	An act to add Scctions 12264 and 69844.5 to the Government
production-1955-vol1-55chapters	791	10387	10387	1562	N	fill_disagrees(ocr=10387,fill=1036)	An act fo repeal Sections 701, 702, and 705 of the Insurance
production-1955-vol2-chapters	537	18538	18538	1313	Y	fill_disagrees(ocr=18538,fill=1850)	An act to amend Section 431 of the Education Code, relating
production-1957-vol1-57chapters	846	11384	11384	1886	Y	fill_disagrees(ocr=11384,fill=1133)	An act to add Section 8406.5 to the Education Code, relating
production-1957-vol1-57chapters	974	13802	13802	2079	Y	fill_disagrees(ocr=13802,fill=1300)	An act to add Section 35002.1 to the Government Code, relat.
production-1957-vol2-57chapters	695	21538	21538	1075	Y	fill_disagrees(ocr=21538,fill=2152)	An act to add Section 69612 to the Government Code, relating
production-1957-vol2-57chapters	880	23851	23851	1345	Y	fill_disagrees(ocr=23851,fill=2301)	An act to amend Seclion 25630 of the Business and Professions
production-1957-vol2-57chapters	897	23871	23871	1371	Y	fill_disagrees(ocr=23871,fill=2370)	An act to amend Section 31007 of the Government Code, relat-
production-1959-vol1-59chapters	359	41d	0	1766	Y	fill_disagrees(ocr=0,fill=415)	An act to add Section 6021 to the Revenue and Taxation Ci de,
production-1959-vol2-chapters	273	13842	13842	594	N	fill_disagrees(ocr=13842,fill=1341)	An act to amend Section 21454 of the Vehicle Code as enacted
production-1959-vol2-chapters	299	13874	13874	630	N	fill_disagrees(ocr=13874,fill=1370)	An act to amend Section 25465 of the Government Code, relat-
production-1959-vol2-chapters	353	14386	14386	688	N	fill_disagrees(ocr=14386,fill=1435)	An act to amend Sections 21166 and 22840 of the Water Code,
production-1961-vol1-61chapters	869	12338	12338	2461	Y	fill_disagrees(ocr=12338,fill=1232)	An act to repeal Chapter 5 (commencing at Section 490) of
production-1961-vol2-chapters	57	13810	13810	85	Y	fill_disagrees(ocr=13810,fill=1309)	An act to amend Scetion 1858 04 of, and lo add Sections
production-1961-vol2-chapters	165	14383	14383	235	Y	fill_disagrees(ocr=14383,fill=1431)	An act to add Section 15137 to the Government Code,
production-1961-vol2-chapters	529	18438	18438	914	Y	restart_or_decrease(1842->1544)	An act to add Section 72602 2 to the Government Code, relat-
production-1963-vol1-63chapters	31	3d	0	42	Y	fill_disagrees(ocr=0,fill=35)	An act to amend Section 6401 of the Elections Code, relating
production-1963-vol2-chapters	303	13882	13882	421	Y	restart_or_decrease(1880->1384)	An act to amend Sections 6, 7, and 12.2 of Chapter 994 of
production-1963-vol2-chapters	735	18386	18386	1280	Y	fill_disagrees(ocr=18386,fill=1835)	An act to amend Sections 779.2, 779.4, 779.6, 779.8, 779.18,
production-1963-vol2-chapters	736	18387	18387	1284	Y	fill_disagrees(ocr=18387,fill=1836)	An act to amend Sections 5871, 5872, 5873, 5875, 5876, 5877,
production-1963-vol2-chapters	827	19387	19387	1490	Y	fill_disagrees(ocr=19387,fill=1936)	An act to add Section 214.4 to the Revenue and Tazation
production-1963-vol2-chapters	1017	21438	21438	1967	Y	fill_disagrees(ocr=21438,fill=2142)	An act to amend Sections 73341, 73349, 73351, 73352, 73355,
production-1965-vol2	796	13877	13877	1471	Y	fill_disagrees(ocr=13877,fill=1376)	An act to amend Section 182035 of the Financial Code,
production-1967-vol2	741	13838	13838	1315	N	restart_or_decrease(1387->1339)	An act to amend Sections 7666, 7669, 7670, 7725, 7725.2, 7725.3,
production-1967-vol2	777	13878	13878	1374	N	restart_or_decrease(1877->1379)	An act to amend Sections 26401, 26402, 26404, 26452, and
production-1967-vol2	781	13838	13838	1387	N	fill_disagrees(ocr=13838,fill=1382)	An act to amend Section 31831.1 of the Government Code,
production-1967-vol2	897	J517	2	1755	N	fill_disagrees(ocr=2,fill=1516)	An act to amend Section 266 of the Revenue and Tazation
production-1967-vol2	912	10383	10383	1788	N	fill_disagrees(ocr=10383,fill=1533)	An act to amend Sections 11553 and 12500 of, and to add Sec-
production-1968-vol2-chapters	179	11638	11638	482	Y	fill_disagrees(ocr=11638,fill=1161)	An act to add Section 7.1-1 lo the Kern County Water Agency
production-1968-vol2-chapters	241	12438	12438	626	Y	fill_disagrees(ocr=12438,fill=1242)	An act to add Section 68092.5 to the Government
production-1968-vol2-chapters	317	13845	13845	841	Y	fill_disagrees(ocr=13845,fill=1344)	An act to add Section 112 to, and to repeal Section 112 of,
production-1971-vol1-chapters	768	9C7	100	1756	Y	fill_disagrees(ocr=100,fill=307)	An act to amend Section 41605 of the Government Code and
production-1971-vol1-chapters	944	J120	2	2134	Y	fill_disagrees(ocr=2,fill=1119)	An act to amend Section 1263 of the Health and
production-1971-vol1-chapters	1033	12384	12384	2396	Y	fill_disagrees(ocr=12384,fill=1233)	An act to amend Sections 17846 end 17866 of, to amend and
production-1971-vol1-chapters	1034	d	500	2398	Y	fill_disagrees(ocr=500,fill=1234)	An act to add Sections 19019, 19021, 19022 and 19023 to the
production-1971-vol1-chapters	1062	i273	1	2492	Y	fill_disagrees(ocr=1,fill=1272)	An act to amend Sections 5101, 5102, 5103, 5104, 5108, and
production-1971-vol1-chapters	1070	12288	12288	2522	Y	fill_disagrees(ocr=12288,fill=1287)	An act to amend Sections 183, 1060, 13142, 13147, 13160,
production-1971-vol2	14	132i	2	32	Y	fill_disagrees(ocr=2,fill=1321)	An act to repeal Section 10756 of the Hducation Code, re-
production-1971-vol2	79	140i	2	203	Y	fill_disagrees(ocr=2,fill=1400)	An act to amend Sections 9890.50, 9890.57 and 9890.121 of the
production-1971-vol2	384	LT9T	52	1283	Y	fill_disagrees(ocr=52,fill=1795)	An act to amend and repeal Section 11391 of, and to amend,
production-1975-vol1-chapters	129	i34	1	258	Y	fill_disagrees(ocr=1,fill=134)	An act relating to Ventura County Community College District,
production-1979-vol3	49	10383	10383	240	Y	fill_disagrees(ocr=10383,fill=1030)	An act to add Part 72 (commencing with Section 15430) to
production-1979-vol3	182	i201	2	1395	Y	fill_disagrees(ocr=2,fill=1201)	An act to amend Section 22719 of the Education Code and to
production-1982-vol3	72	d	500	189	N	fill_disagrees(ocr=500,fill=830)	AN act relating to public programs.
