token	freq	correction	reason
trustecs	660	trustees	unique(trustees:26083)
herehy	645	hereby	dominant(hereby:106164>>heresy:42)
deseribed	637	described	unique(described:46112)
sehool	623	school	dominant(school:196893>>shool:6)
clected	621	elected	unique(elected:30880)
cuaprer	606	chapter	dominant(chapter:358685>>capper:51)
seribed	601	scribed	dominant(scribed:2086>>serifed:0)
employé	591	employ	dominant(employ:11987>>employs:1243)
wpon	591	upon	dominant(upon:281887>>won:447)
npon	580	upon	dominant(upon:281887>>non:4938)
edueation	578	education	unique(education:130034)
countv	575	county	dominant(county:512140>>count:4795)
reecive	572	receive	unique(receive:75091)
waereas	567	whereas	unique(whereas:32050)
apvear	567	appear	unique(appear:27291)
betterments	555	betterment	dominant(betterment:296>>betterment's:0)
thercin	544	therein	unique(therein:36084)
procecdings	540	proceedings	unique(proceedings:45662)
thercon	535	thereon	dominant(thereon:29056>>theron:7)
ineluded	533	included	unique(included:27309)
seerctary	532	secretary	dominant(secretary:133735>>sectary:0)
srcrion	524	section	dominant(section:1401134>>suction:369)
fecs	522	fees	dominant(fees:65514>>secs:1003)
emploved	522	employed	unique(employed:29779)
rermbursement	520	reimbursement	unique(reimbursement:32291)
scctions	515	sections	dominant(sections:105691>>suctions:7)
subpena	512	subpoena	unique(subpoena:4344)
eredited	511	credited	dominant(credited:11946>>reedited:0)
deputics	510	deputies	unique(deputies:11360)
commussion	504	commission	unique(commission:129376)
ineurred	502	incurred	unique(incurred:38556)
coowners	502	owners	dominant(owners:15293>>coroners:340)
wuenreas	501	whereas	unique(whereas:32050)
culifornia	498	california	unique(california:322009)
eourt	497	court	unique(court:242103)
thercto	489	thereto	unique(thereto:37039)
mect	487	meet	dominant(meet:30789>>met:9062)
honds	482	bonds	dominant(bonds:113404>>holds:4946)
subpenas	481	subpoenas	unique(subpoenas:1324)
execed	480	exceed	unique(exceed:73780)
herchy	477	hereby	dominant(hereby:106164>>perch:131)
caltfornia	476	california	unique(california:322009)
salarv	471	salary	unique(salary:69927)
emplover	464	employer	unique(employer:35651)
scnate	457	senate	unique(senate:56332)
diseretion	455	discretion	unique(discretion:15083)
siate	449	state	dominant(state:880230>>site:16555)
buard	446	board	dominant(board:460792>>guard:5449)
cffect	445	effect	dominant(effect:146377>>affect:13206)
affectea	432	affected	unique(affected:29048)
sectior	432	section	dominant(section:1401134>>sector:1632)
necessarv	430	necessary	unique(necessary:134999)
preseribe	427	prescribe	unique(prescribe:15299)
issned	424	issued	unique(issued:89892)
calitornia	420	california	unique(california:322009)
anact	416	enact	unique(enact:95122)
citapter	413	chapter	dominant(chapter:358685>>cytaster:0)
offive	412	office	unique(office:138824)
btate	412	state	dominant(state:880230>>tate:698)
monevs	412	moneys	unique(moneys:32228)
moncys	411	moneys	unique(moneys:32228)
anditor	410	auditor	unique(auditor:25015)
vacaney	406	vacancy	unique(vacancy:9853)
jocal	400	local	dominant(local:127353>>focal:57)
denartment	399	department	unique(department:322917)
vounty	398	county	dominant(county:512140>>bounty:217)
otber	398	other	dominant(other:450272>>otter:143)
seclion	398	section	unique(section:1401134)
wuerras	397	whereas	dominant(whereas:32050>>guerra:31)
jevied	394	levied	unique(levied:20557)
wuerzas	393	whereas	dominant(whereas:32050>>guerezas:0)
offiee	392	office	unique(office:138824)
thereot	388	thereof	dominant(thereof:160014>>thereto:37039)
secticn	388	section	unique(section:1401134)
franciseo	384	francisco	unique(francisco:21120)
acerued	384	accrued	unique(accrued:6302)
sucn	381	such	dominant(such:874514>>sun:957)
szcrion	379	section	dominant(section:1401134>>suction:369)
chicf	378	chief	dominant(chief:28613>>chico:1571)
cther	377	other	dominant(other:450272>>cither:1223)
deseription	375	description	unique(description:16846)
excced	374	exceed	unique(exceed:73780)
julv	373	july	dominant(july:75897>>jul:31)
szction	372	section	dominant(section:1401134>>suction:369)
eall	371	all	dominant(all:421103>>call:10135)
aceordance	370	accordance	unique(accordance:66778)
mectings	368	meetings	unique(meetings:14883)
pavment	368	payment	dominant(payment:105517>>pavement:296)
elass	368	class	dominant(class:44865>>glass:1241)
secretarv	366	secretary	unique(secretary:133735)
employces	363	employees	dominant(employees:65531>>employes:235)
secietary	361	secretary	unique(secretary:133735)
etree	360	tree	unique(tree:1761)
wherbas	360	whereas	unique(whereas:32050)
precinet	359	precinct	unique(precinct:7005)
earry	359	carry	dominant(carry:21229>>early:3408)
conrt	356	court	unique(court:242103)
sceretary	355	secretary	unique(secretary:133735)
hefore	351	before	unique(before:109151)
issucd	349	issued	unique(issued:89892)
heense	348	defense	dominant(defense:7975>>cheese:2076)
exeeed	343	exceed	unique(exceed:73780)
gaid	341	said	dominant(said:424830>>paid:133709)
reyuired	339	required	unique(required:172879)
taxcs	338	taxes	dominant(taxes:51697>>taxis:22)
estrays	338	estray	dominant(estray:269>>strays:4)
srction	337	section	dominant(section:1401134>>suction:369)
trustces	330	trustees	dominant(trustees:26083>>trusties:0)
havice	329	have	dominant(have:217010>>having:44420)
anthorized	328	authorized	unique(authorized:94173)
wueereas	328	whereas	unique(whereas:32050)
departinent	327	department	unique(department:322917)
ghall	326	shall	dominant(shall:2006583>>hall:2702)
sxcrion	323	section	dominant(section:1401134>>suction:369)
partics	315	parties	dominant(parties:24522>>paretics:0)
ciiapter	315	chapter	unique(chapter:358685)
cilapter	315	chapter	dominant(chapter:358685>>clapper:8)
offect	313	effect	dominant(effect:146377>>affect:13206)
secton	312	section	dominant(section:1401134>>sector:1632)
coowner	310	owner	dominant(owner:51366>>corner:12967)
cighty	308	eighty	dominant(eighty:10270>>mighty:15)
eightcen	307	eighteen	unique(eighteen:14650)
amonnt	307	amount	unique(amount:233789)
horeby	305	hereby	dominant(hereby:106164>>horeb:0)
rclating	303	relating	unique(relating:116899)
jater	301	water	dominant(water:111055>>later:31194)
excecding	299	exceeding	unique(exceeding:22910)
reccived	299	received	unique(received:56222)
eftect	297	effect	unique(effect:146377)
inerease	295	increase	unique(increase:22289)
subiect	294	subject	unique(subject:109537)
sunerior	293	superior	unique(superior:35772)
urgeney	292	urgency	unique(urgency:28390)
withont	290	without	unique(without:81491)
enuct	286	enact	dominant(enact:95122>>educt:0)
herebv	285	hereby	unique(hereby:106164)
astatement	283	statement	unique(statement:53359)
nevessary	282	necessary	unique(necessary:134999)
clork	281	clerk	dominant(clerk:97979>>clock:3340)
emplovment	281	employment	unique(employment:51370)
issne	280	issue	unique(issue:43988)
handred	279	hundred	dominant(hundred:155499>>handled:2655)
ifany	279	any	dominant(any:1254743>>many:8514)
ordinanee	278	ordinance	unique(ordinance:44097)
engincer	278	engineer	unique(engineer:9332)
seection	275	section	dominant(section:1401134>>selection:6476)
jegal	274	legal	dominant(legal:34311>>regal:22)
senale	274	senate	dominant(senate:56332>>senile:26)
cightcen	274	eighteen	dominant(eighteen:14650>>lighten:5)
artiele	273	article	unique(article:188766)
jease	272	lease	dominant(lease:27131>>cease:6027)
crry	270	carry	dominant(carry:21229>>cory:95)
olberg	270	older	dominant(older:3935>>berg:272)
offivers	268	officers	unique(officers:66657)
pereent	266	percent	unique(percent:72590)
frecholders	265	freeholders	unique(freeholders:2476)
ealled	265	called	dominant(called:12133>>walled:50)
eriminal	263	criminal	unique(criminal:26841)
aftor	261	after	dominant(after:209066>>actor:107)
offiver	261	officer	unique(officer:108773)
eopy	261	copy	dominant(copy:49839>>espy:1)
becn	259	been	dominant(been:184233>>ben:379)
eavh	259	each	dominant(each:290687>>eave:24)
califurnia	257	california	unique(california:322009)
taxpaver	257	taxpayer	unique(taxpayer:26282)
ineludes	257	includes	unique(includes:27123)
jevy	254	levy	dominant(levy:21738>>bevy:3)
eost	254	cost	dominant(cost:69064>>east:15919)
wnder	253	under	dominant(under:386358>>wider:178)
transferors	253	transferor	unique(transferor:4075)
anid	251	and	dominant(and:3882813>>aid:27683)
qualificd	250	qualified	unique(qualified:51243)
transter	250	transfer	unique(transfer:50253)
eleetion	250	election	unique(election:122961)
cuarter	250	charter	dominant(charter:59157>>quarter:13021)
ciry	248	city	dominant(city:310083>>cory:95)
wuersas	248	whereas	dominant(whereas:32050>>bursas:0)
othor	247	other	dominant(other:450272>>thor:103)
stete	247	state	dominant(state:880230>>steve:61)
notive	246	notice	dominant(notice:138786>>native:2331)
jomt	245	jot	dominant(jot:548>>jolt:11)
excecd	243	exceed	unique(exceed:73780)
hcense	243	cense	unique(cense:481)
saall	242	shall	dominant(shall:2006583>>small:14032)
depariment	242	department	unique(department:322917)
sxction	241	section	dominant(section:1401134>>suction:369)
eause	241	cause	dominant(cause:51313>>ease:3699)
dulv	241	duly	dominant(duly:25971>>dull:4)
suca	240	such	dominant(such:874514>>suck:605)
threc	239	three	dominant(three:98196>>threw:2)
cuhapter	239	chapter	unique(chapter:358685)
effert	238	effect	dominant(effect:146377>>effort:4042)
proccedings	237	proceedings	unique(proceedings:45662)
subpcena	236	subpoena	unique(subpoena:4344)
issuc	236	issue	dominant(issue:43988>>issac:2)
levislature	235	legislature	unique(legislature:98674)
jawful	233	lawful	dominant(lawful:9631>>awful:13)
wahereas	232	whereas	unique(whereas:32050)
yeai	232	year	dominant(year:248462>>yea:225)
januarv	230	january	unique(january:80723)
employce	230	employee	dominant(employee:70260>>employe:186)
wuereeas	229	whereas	dominant(whereas:32050>>guerezas:0)
agenev	229	agency	dominant(agency:176766>>agent:32569)
rermburse	227	reimburse	unique(reimburse:9984)
califormia	226	california	unique(california:322009)
companics	225	companies	unique(companies:8794)
eents	224	cents	dominant(cents:25963>>rents:3152)
preemployment	224	reemployment	unique(reemployment:1014)
seotion	223	section	unique(section:1401134)
clections	223	elections	dominant(elections:25405>>flections:36)
citics	222	cities	dominant(cities:20019>>civics:85)
reluting	221	relating	dominant(relating:116899>>refuting:2)
reecived	220	received	unique(received:56222)
beptember	217	september	unique(september:59602)
suvh	217	such	dominant(such:874514>>suva:3)
sevarate	216	separate	unique(separate:33032)
everv	215	every	dominant(every:68289>>ever:5427)
hercinafter	215	hereinafter	unique(hereinafter:10722)
unon	215	upon	dominant(upon:281887>>union:10685)
statc	214	state	dominant(state:880230>>stats:39154)
bereby	213	hereby	unique(hereby:106164)
ureency	213	urgency	unique(urgency:28390)
siall	212	shall	dominant(shall:2006583>>small:14032)
itern	212	intern	dominant(intern:961>>tern:113)
msurance	212	insurance	dominant(insurance:71967>>assurance:2286)
fapproved	210	approved	unique(approved:173431)
thereor	209	thereof	dominant(thereof:160014>>therefor:35720)
distriets	209	districts	unique(districts:81462)
conneil	208	council	dominant(council:71054>>connect:499)
oceur	208	occur	unique(occur:5813)
pcople	207	people	unique(people:109507)
eects	207	elects	dominant(elects:4080>>sects:75)
puid	207	paid	dominant(paid:133709>>pud:18)
hearmg	207	hearing	dominant(hearing:81746>>hear:6221)
eream	207	cream	dominant(cream:5155>>dream:48)
vode	206	code	dominant(code:604422>>vote:36355)
elaim	206	claim	dominant(claim:38845>>elam:15)
ineur	206	incur	unique(incur:4076)
filmg	206	film	dominant(film:1120>>films:237)
thereol	205	thereof	dominant(thereof:160014>>thereon:29056)
jicense	205	license	unique(license:90825)
ceeeee	204	cheese	dominant(cheese:2076>>peewee:11)
appropriae	204	appropriate	unique(appropriate:48938)
safetv	204	safety	unique(safety:90797)
lamc	203	lamp	dominant(lamp:1327>>lam:180)
reaa	202	read	dominant(read:282008>>real:51419)
enforceably	202	enforceable	unique(enforceable:2151)
imsurance	200	insurance	unique(insurance:71967)
notiee	200	notice	unique(notice:138786)
nnder	200	under	dominant(under:386358>>nuder:17)
boarc	199	board	dominant(board:460792>>boar:188)
uscd	198	used	unique(used:113647)
aceount	198	account	unique(account:58451)
sevtion	197	section	unique(section:1401134)
ycars	197	years	dominant(years:112149>>cars:1761)
percentum	196	percent	dominant(percent:72590>>percents:3)
enforee	194	enforce	unique(enforce:11957)
satety	194	safety	dominant(safety:90797>>satiety:15)
covernor	194	governor	unique(governor:106610)
capproved	194	approved	unique(approved:173431)
eustody	193	custody	unique(custody:20420)
counly	192	county	unique(county:512140)
cuaptter	192	chapter	dominant(chapter:358685>>cutter:75)
thoir	191	their	dominant(their:117217>>thor:103)
aleoholic	191	alcoholic	unique(alcoholic:6479)
bonrd	189	board	dominant(board:460792>>bond:51163)
procecding	189	proceeding	unique(proceeding:29993)
penaltics	188	penalties	unique(penalties:17305)
direetor	188	director	unique(director:101827)
sccretary	187	secretary	unique(secretary:133735)
cistrict	187	district	unique(district:378970)
offico	186	office	unique(office:138824)
staie	186	state	dominant(state:880230>>stale:1700)
eontrol	186	control	unique(control:66319)
intcrest	185	interest	unique(interest:116850)
inelusive	185	inclusive	unique(inclusive:23308)
precinets	184	precincts	unique(precincts:3582)
articie	184	article	unique(article:188766)
subpcenas	183	subpoenas	unique(subpoenas:1324)
sccond	183	second	unique(second:26568)
ealling	183	calling	dominant(calling:4765>>falling:691)
reeord	182	record	dominant(record:45639>>reword:0)
pursnant	182	pursuant	unique(pursuant:316406)
sehedule	181	schedule	unique(schedule:46867)
triet	180	tried	dominant(tried:2706>>trier:486)
conncil	180	council	unique(council:71054)
elerks	180	clerks	unique(clerks:15173)
eredits	180	credits	dominant(credits:6752>>reedits:0)
waich	180	which	dominant(which:638761>>watch:346)
oftice	179	office	unique(office:138824)
wecks	179	weeks	dominant(weeks:7437>>wrecks:31)
upproved	179	approved	dominant(approved:173431>>unproved:8)
followine	178	following	unique(following:166407)
reeeive	178	receive	unique(receive:75091)
execeding	178	exceeding	unique(exceeding:22910)
pareel	178	parcel	unique(parcel:12275)
eontract	178	contract	unique(contract:91930)
taration	178	taxation	dominant(taxation:42154>>tarnation:0)
sentember	177	september	unique(september:59602)
oceurs	176	occurs	unique(occurs:8677)
sxec	175	sec	dominant(sec:381965>>spec:312)
boundarics	175	boundaries	unique(boundaries:21350)
hercafter	175	hereafter	unique(hereafter:19758)
eapital	175	capital	unique(capital:25520)
proviced	175	provided	unique(provided:300880)
manuer	175	manner	dominant(manner:84354>>manure:153)
attornev	174	attorney	dominant(attorney:55433>>attorned:0)
serviees	174	services	unique(services:187802)
persun	174	person	unique(person:339208)
ageregate	174	aggregate	unique(aggregate:13562)
depositaries	174	depositories	unique(depositories:190)
bankruptey	174	bankruptcy	dominant(bankruptcy:1466>>bankrupted:1)
livense	173	license	dominant(license:90825>>livens:0)
fiftv	173	fifty	dominant(fifty:42458>>fifth:7700)
levislative	173	legislative	unique(legislative:49293)
employecs	173	employees	dominant(employees:65531>>employers:6540)
assessinent	172	assessment	unique(assessment:60627)
treasnrer	172	treasurer	unique(treasurer:44599)
inelud	171	include	dominant(include:73727>>influx:112)
srecrion	170	section	dominant(section:1401134>>erection:2193)
avainst	170	against	unique(against:66044)
schvol	170	school	unique(school:196893)
setvices	170	services	unique(services:187802)
comphance	169	compliance	unique(compliance:22372)
hetween	168	between	unique(between:44973)
appioved	168	approved	unique(approved:173431)
oficers	167	officers	unique(officers:66657)
aguinst	167	against	unique(against:66044)
fces	167	fees	dominant(fees:65514>>ices:1422)
committce	166	committee	unique(committee:75062)
entilled	166	entitled	dominant(entitled:50404>>untilled:0)
relaling	166	relating	dominant(relating:116899>>relaying:31)
tollows	166	follows	dominant(follows:158722>>hollows:15)
resolucd	166	resolved	dominant(resolved:24165>>resold:256)
umount	165	amount	dominant(amount:233789>>mount:1643)
acerue	165	accrue	unique(accrue:2803)
doilars	165	dollars	unique(dollars:212257)
withm	165	with	dominant(with:812535>>withe:2)
eorporation	165	corporation	unique(corporation:92152)
reccipt	164	receipt	unique(receipt:30428)
japproved	164	approved	unique(approved:173431)
thercfor	164	therefor	unique(therefor:35720)
feos	164	fees	dominant(fees:65514>>foes:210)
eivil	164	civil	dominant(civil:72956>>evil:73)
preeeding	164	preceding	unique(preceding:31202)
guvernor	164	governor	unique(governor:106610)
certifeate	164	certificate	unique(certificate:70185)
exasting	164	existing	dominant(existing:66172>>exacting:35)
sizth	163	sixth	unique(sixth:5585)
chapier	163	chapter	dominant(chapter:358685>>charier:40)
exeess	163	excess	unique(excess:31152)
bodv	163	body	dominant(body:52039>>bod:104)
destroved	163	destroyed	unique(destroyed:5676)
conduet	162	conduct	dominant(conduct:30663>>conduit:733)
socicty	162	society	unique(society:6635)
deseribing	162	describing	unique(describing:3468)
accounl	162	account	unique(account:58451)
subseribed	161	subscribed	unique(subscribed:1636)
undor	161	under	dominant(under:386358>>undo:9)
asscssment	161	assessment	unique(assessment:60627)
secretury	161	secretary	dominant(secretary:133735>>secretory:11)
serviee	161	service	dominant(service:158069>>servile:4)
seribe	161	scribe	dominant(scribe:563>>serine:12)
modoe	160	mode	unique(mode:2132)
decmed	160	deemed	dominant(deemed:43813>>decked:1)
treasurcr	160	treasurer	unique(treasurer:44599)
reeords	160	records	dominant(records:39746>>rewords:0)
excceding	159	exceeding	unique(exceeding:22910)
ealendar	159	calendar	unique(calendar:25602)
enginecr	159	engineer	unique(engineer:9332)
scerctary	158	secretary	dominant(secretary:133735>>sectary:0)
valuc	158	value	unique(value:49356)
angust	158	august	dominant(august:27471>>angus:15)
insuranee	158	insurance	unique(insurance:71967)
wuergas	157	whereas	dominant(whereas:32050>>burgas:0)
heaith	157	health	dominant(health:180937>>heath:60)
incumbrances	156	encumbrances	dominant(encumbrances:1421>>incumbrance:152)
neeessary	156	necessary	unique(necessary:134999)
chavter	156	chapter	dominant(chapter:358685>>charter:59157)
eredential	156	credential	unique(credential:5805)
ccunty	156	county	unique(county:512140)
entruster	156	entrusted	unique(entrusted:290)
appomtment	155	appointment	unique(appointment:25156)
jocated	155	located	unique(located:29015)
suvenor	155	surveyor	dominant(surveyor:7157>>senor:24)
witbin	154	within	unique(within:253350)
vebicle	154	vehicle	dominant(vehicle:96382>>vesicle:3)
anthority	154	authority	unique(authority:77459)
purehase	154	purchase	unique(purchase:40859)
whicn	154	which	dominant(which:638761>>whin:1)
finanee	154	finance	unique(finance:37229)
authoritv	154	authority	unique(authority:77459)
therenpon	153	thereupon	unique(thereupon:8038)
coneurrent	152	concurrent	unique(concurrent:11773)
authonze	152	authorize	unique(authorize:23254)
rebuttably	152	rebuttable	unique(rebuttable:546)
divertee	152	diverted	dominant(diverted:755>>diverter:2)
suecessor	151	successor	unique(successor:8331)
jength	151	length	unique(length:8444)
foliows	151	follows	dominant(follows:158722>>folios:79)
reculations	150	regulations	unique(regulations:71915)
eurrent	150	current	unique(current:26839)
genoral	149	general	unique(general:134878)
hecome	149	become	unique(become:63283)
chaprer	149	chapter	unique(chapter:358685)
dollurs	148	dollars	unique(dollars:212257)
bection	147	section	dominant(section:1401134>>lection:579)
oflice	147	office	unique(office:138824)
scetions	147	sections	unique(sections:105691)
dailv	147	daily	unique(daily:25593)
doliars	146	dollars	unique(dollars:212257)
intercst	146	interest	dominant(interest:116850>>intercut:0)
inereased	146	increased	unique(increased:14194)
heing	146	being	dominant(being:47250>>heine:7)
loeal	146	local	dominant(local:127353>>loyal:115)
szotion	145	section	dominant(section:1401134>>motion:17050)
exccution	145	execution	unique(execution:12813)
subpeena	145	subpoena	unique(subpoena:4344)
suporvisors	145	supervisors	unique(supervisors:68372)
deseribe	145	describe	unique(describe:3918)
therecf	145	thereof	unique(thereof:160014)
cuaprter	145	chapter	dominant(chapter:358685>>charter:59157)
reeorder	144	recorder	dominant(recorder:14075>>reorder:15)
prorater	144	prorated	dominant(prorated:1213>>prorate:318)
seorion	143	section	dominant(section:1401134>>session:32223)
comty	143	comity	dominant(comity:67>>comte:21)
hnndred	143	hundred	unique(hundred:155499)
highth	143	eighth	dominant(eighth:4265>>hight:271)
licu	143	lieu	dominant(lieu:14488>>lick:77)
phonographie	143	phonographic	unique(phonographic:536)
befure	143	before	unique(before:109151)
valne	143	value	dominant(value:49356>>valve:209)
renealed	143	repealed	dominant(repealed:50956>>revealed:320)
traffie	143	traffic	unique(traffic:11994)
snecified	142	specified	unique(specified:117730)
forcign	141	foreign	dominant(foreign:15376>>forcing:76)
clect	141	elect	dominant(elect:9874>>cleat:114)
ereditors	141	creditors	unique(creditors:3378)
specificd	141	specified	dominant(specified:117730>>specific:17917)
beeome	141	become	unique(become:63283)
carrving	141	carrying	dominant(carrying:13410>>carving:8)
notico	140	notice	unique(notice:138786)
vourt	140	court	unique(court:242103)
earrying	140	carrying	dominant(carrying:13410>>marrying:196)
amember	140	member	unique(member:100238)
coce	140	code	dominant(code:604422>>come:4460)
fiuid	140	fluid	unique(fluid:4555)
funnd	140	fund	dominant(fund:186336>>funny:2)
sucb	139	such	dominant(such:874514>>sub:9495)
procecd	139	proceed	unique(proceed:11303)
reauired	139	required	unique(required:172879)
sectiun	139	section	unique(section:1401134)
recular	139	regular	dominant(regular:37157>>secular:20)
exhaustee	139	exhausted	unique(exhausted:1679)
eees	138	fees	dominant(fees:65514>>tees:1247)
cuunty	138	county	unique(county:512140)
exvept	138	except	unique(except:119171)
aecordance	138	accordance	unique(accordance:66778)
doljars	137	dollars	unique(dollars:212257)
wuercas	137	whereas	unique(whereas:32050)
proposep	137	proposed	dominant(proposed:75852>>propose:2972)
ccde	136	code	dominant(code:604422>>cede:352)
procced	136	proceed	unique(proceed:11303)
senute	136	senate	dominant(senate:56332>>sente:6)
supermtendent	136	superintendent	unique(superintendent:57143)
ficld	136	field	unique(field:8277)
otner	136	other	dominant(other:450272>>owner:51366)
ecunty	136	county	dominant(county:512140>>equity:4112)
ereditor	135	creditor	unique(creditor:5476)
doard	134	board	dominant(board:460792>>hoard:2623)
cleetion	134	election	dominant(election:122961>>creation:6474)
seetions	133	sections	unique(sections:105691)
berein	133	herein	dominant(herein:40047>>berlin:29)
persor	133	person	unique(person:339208)
politieal	132	political	unique(political:28466)
supplics	132	supplies	unique(supplies:10722)
ceneral	132	general	dominant(general:134878>>central:7421)
survevor	132	surveyor	dominant(surveyor:7157>>survivor:1829)
senarate	132	separate	unique(separate:33032)
eifect	131	effect	unique(effect:146377)
codc	131	code	dominant(code:604422>>cod:190)
retating	131	relating	dominant(relating:116899>>retaking:124)
aequired	131	required	dominant(required:172879>>acquired:17088)
arnount	131	amount	dominant(amount:233789>>account:58451)
shaljl	131	shall	unique(shall:2006583)
certifivate	131	certificate	unique(certificate:70185)
ahove	131	above	dominant(above:24492>>hove:15)
erime	131	crime	dominant(crime:29292>>prime:1126)
caleulated	130	calculated	unique(calculated:5616)
proporty	130	property	unique(property:232058)
reeular	130	regular	unique(regular:37157)
emergeney	130	emergency	unique(emergency:27311)
vehiele	130	vehicle	unique(vehicle:96382)
hcensed	130	censed	unique(censed:178)
ayainst	129	against	unique(against:66044)
sulary	129	salary	dominant(salary:69927>>sugary:2)
boerd	129	board	dominant(board:460792>>bored:37)
certifieate	129	certificate	unique(certificate:70185)
aequire	129	require	dominant(require:57624>>acquire:10347)
commussioner	129	commissioner	unique(commissioner:58677)
revenne	128	revenue	dominant(revenue:78205>>revenge:1)
cligible	128	eligible	unique(eligible:35778)
tazation	128	taxation	unique(taxation:42154)
redrilling	128	drilling	dominant(drilling:1150>>refilling:112)
permittees	128	permitted	dominant(permitted:16290>>permitee:5)
catifornia	127	california	unique(california:322009)
yeurs	127	years	dominant(years:112149>>yours:74)
appomted	127	appointed	dominant(appointed:49232>>apposed:0)
licn	127	lien	dominant(lien:26113>>lion:550)
reveive	127	receive	dominant(receive:75091>>revive:129)
hercof	127	hereof	unique(hereof:9423)
asscmbly	127	assembly	unique(assembly:65180)
watcr	127	water	dominant(water:111055>>watch:346)
wrereas	127	whereas	unique(whereas:32050)
svra	127	sra	dominant(sra:324>>sura:29)
eightecn	126	eighteen	unique(eighteen:14650)
procided	126	provided	unique(provided:300880)
tollowing	126	following	dominant(following:166407>>hollowing:1)
oceurred	126	occurred	unique(occurred:8577)
apphcation	126	application	unique(application:76435)
srotion	125	section	dominant(section:1401134>>portion:50368)
coanty	125	county	dominant(county:512140>>canty:11)
secrron	124	section	dominant(section:1401134>>sharron:8)
oceupied	124	occupied	unique(occupied:4630)
fiftcen	124	fifteen	unique(fifteen:14965)
proveedings	124	proceedings	unique(proceedings:45662)
jegislative	124	legislative	unique(legislative:49293)
sessior	124	session	unique(session:32223)
mzy	124	may	dominant(may:654606>>my:4512)
reappropriations	124	appropriations	unique(appropriations:11393)
thirticth	123	thirtieth	unique(thirtieth:1836)
judyment	123	judgment	unique(judgment:44862)
aequisition	123	acquisition	dominant(acquisition:24462>>requisition:1318)
enforeement	122	enforcement	unique(enforcement:36453)
suecessors	122	successors	unique(successors:6558)
therem	122	there	dominant(there:89357>>therm:23)
