token	corpus_freq	reason
hmited	139	ambiguous(united:73201/limited:53390)
lje	138	ambiguous(le:1532/lie:1221)
strued	136	weak_unique(trued:0)
certam	136	weak_unique(ceram:3)
indorser	134	ambiguous(indorsed:1040/indorse:748)
norpseudoephedrine	132	no_candidate
pubheation	131	no_candidate
islais	130	weak_unique(islams:0)
munici	130	weak_unique(munich:3)
ceeding	129	ambiguous(ceding:1259/feeding:916)
additiona	129	ambiguous(additional:52267/addition:44509)
emsting	127	ambiguous(easting:23/emoting:0)
terest	126	ambiguous(teresa:40/merest:1)
omcers	126	ambiguous(orders:15901/owners:15293)
ferred	126	ambiguous(erred:39/feared:12)
salesyard	124	weak_unique(kaleyard:0)
tificate	123	ambiguous(silicate:1/titivate:1)
cuav	122	weak_unique(cav:6)
portation	121	ambiguous(hortation:2/potation:2)
providec	120	ambiguous(provided:300880/provide:121470)
ately	119	weak_unique(lately:13)
structed	119	weak_unique(strutted:0)
szorion	119	ambiguous(orion:9/azorian:0)
mencing	119	ambiguous(fencing:304/mending:102)
codlin	119	ambiguous(codling:21/colin:15)
beheve	117	weak_unique(behave:8)
misde	116	weak_unique(misdo:6)
encumbrancers	116	ambiguous(encumbrances:1421/encumbrancer:538)
tuly	114	ambiguous(july:75897/duly:25971)
ciation	114	ambiguous(citation:4745/cation:4096)
eeeeeeeeee	114	no_candidate
daty	113	ambiguous(date:176125/day:107956)
construcd	112	ambiguous(construed:19368/construct:11513)
cceeeee	111	no_candidate
eneeee	110	weak_unique(sneeze:2)
rnay	110	ambiguous(ray:921/nay:528)
puble	110	ambiguous(ruble:9/pule:4)
bronshvag	110	no_candidate
payrate	110	ambiguous(prorate:318/parade:165)
agricul	109	ambiguous(agricola:0/auricula:0)
cipal	108	weak_unique(copal:1)
stantially	108	ambiguous(spatially:7/statically:0)
eross	108	ambiguous(gross:13058/cross:5695)
setencich	106	no_candidate
eters	105	ambiguous(enters:1705/meters:653)
appropris	104	no_candidate
ceive	104	ambiguous(chive:4/clive:3)
rict	104	ambiguous(rice:687/riot:447)
inade	103	ambiguous(invade:41/inane:16)
appheable	103	no_candidate
teaa	102	ambiguous(team:3102/tear:1689)
jurisdic	101	ambiguous(juristic:1/juridic:0)
nonmonetary	101	no_candidate
surance	100	weak_unique(durance:1)
appor	100	ambiguous(apply:71724/appear:27291)
ceeeeeee	100	no_candidate
achon	100	ambiguous(acton:49/chon:5)
sacss	98	ambiguous(sacks:53/sachs:38)
meanor	97	ambiguous(manor:53/meaner:22)
urder	97	ambiguous(under:386358/order:160952)
aunum	96	weak_unique(aurum:0)
thesum	95	ambiguous(these:57269/them:35249)
thorized	95	weak_unique(theorized:1)
seventytwo	95	no_candidate
appheant	95	no_candidate
approprin	94	no_candidate
slungshot	93	weak_unique(slingshot:6)
stahitorv	93	no_candidate
distnet	92	ambiguous(distinct:1635/distant:1176)
roadmasters	91	ambiguous(broadcasters:32/headmasters:0)
cceee	90	ambiguous(creek:5238/cheese:2076)
earried	90	ambiguous(carried:7558/married:3438)
nonservice-connected	90	no_candidate
joun	89	ambiguous(john:3468/join:1816)
eeeeeeeeeee	89	no_candidate
vight	88	ambiguous(right:50843/eight:27364)
twenty-cighth	88	no_candidate
salanes	88	weak_unique(salines:0)
deukmbejian	88	no_candidate
onefourth	87	no_candidate
edness	86	weak_unique(redness:22)
distributees	86	ambiguous(distributes:580/distributee:518)
xiiia	86	ambiguous(cilia:3/lilia:2)
pescetti	86	no_candidate
jobn	84	ambiguous(job:7991/john:3468)
subhaulers	84	no_candidate
heenses	83	ambiguous(defenses:574/lenses:464)
nonservice	83	no_candidate
sunenor	82	weak_unique(senor:24)
tribution	81	ambiguous(attribution:31/retribution:24)
nelap	81	weak_unique(neap:0)
penses	80	ambiguous(lenses:464/senses:213)
sixtyone	80	no_candidate
cnar	80	ambiguous(car:2712/char:1123)
wueereeas	80	no_candidate
trary	79	ambiguous(tracy:170/tray:88)
iners	79	ambiguous(miners:291/inert:185)
snech	79	ambiguous(sech:5/sneck:1)
innavigable	79	weak_unique(unnavigable:42)
eneneeee	79	no_candidate
ceeeeeeee	78	no_candidate
pomt	78	ambiguous(port:6694/post:5944)
tpz	78	ambiguous(the:11516483/to:4306077)
mination	77	ambiguous(nomination:7729/nation:4827)
registerable	77	weak_unique(registrable:8)
eeeneeee	76	no_candidate
mobilehome-manufactured	76	no_candidate
nonattorney	75	no_candidate
subvened	75	weak_unique(subvene:28)
cceeeeee	75	no_candidate
cnuct	74	weak_unique(cnut:0)
deeree	73	ambiguous(degree:8984/decree:4247)
frora	73	ambiguous(fora:182/flora:83)
fricot	73	weak_unique(tricot:0)
theretor	72	ambiguous(thereto:37039/therefor:35720)
bered	72	ambiguous(bred:723/breed:664)
nondistrict	72	no_candidate
jeases	71	ambiguous(leases:4119/ceases:2607)
cedure	71	ambiguous(reduce:13268/secure:8869)
istration	71	ambiguous(station:5938/situation:2222)
fiood	71	ambiguous(food:25026/flood:13430)
nejedly-hart	71	no_candidate
deukmbjian	71	no_candidate
standardbreds	71	no_candidate
eeeeeeeeeeee	70	no_candidate
cortain	70	ambiguous(certain:30261/contain:22497)
wuerezas	70	weak_unique(guerezas:0)
umted	70	ambiguous(muted:14/umped:0)
subpara	70	weak_unique(subpar:1)
noncontracting	70	no_candidate
vendorization	70	ambiguous(deodorization:0/vectorization:0)
seventysix	69	no_candidate
trusteed	69	ambiguous(trustees:26083/trustee:13852)
nonrecycled	69	no_candidate
xijib	69	ambiguous(jib:5/fiji:4)
contaming	68	ambiguous(contain:22497/containing:13971)
sictta	68	ambiguous(dicta:15/sita:4)
etary	68	weak_unique(teary:6)
eeneeee	68	no_candidate
subcustodian	68	no_candidate
sectionized	67	weak_unique(sectioned:1)
sereen	67	ambiguous(screen:535/serene:317)
cfis	67	ambiguous(chis:28/cf's:0)
sinkyone	66	weak_unique(sinkhole:0)
faet	65	ambiguous(feet:22189/fact:18702)
cceeeeeee	65	no_candidate
eitv	65	ambiguous(with:812535/city:310083)
noncommunity	65	weak_unique(noncommunist:1)
nongroup	65	weak_unique(ingroup:0)
atany	64	weak_unique(atony:1)
ccceee	64	weak_unique(accede:16)
empow	64	weak_unique(embow:0)
lishment	64	ambiguous(ligament:0/liniment:0)
ornia	64	weak_unique(ornis:1)
asamby	64	ambiguous(sammy:2/samey:1)
panied	63	ambiguous(panier:4/pained:2)
sixtysix	63	no_candidate
nonglaring	63	no_candidate
posttrial	63	ambiguous(postural:5/postaxial:0)
counse	62	ambiguous(course:19613/counsel:13659)
perannum	62	ambiguous(perineum:5/geranium:0)
sixtytwo	62	no_candidate
inanner	62	weak_unique(inaner:0)
nonreimbursable	62	no_candidate
phenylpiperidine	62	no_candidate
jines	61	ambiguous(lines:7606/fines:5970)
ifno	61	ambiguous(info:67/fino:60)
ercek	61	ambiguous(creek:5238/erect:1987)
calforma	61	weak_unique(alforja:0)
hbrary	61	weak_unique(horary:1)
nonpossessory	61	no_candidate
prograrn	61	ambiguous(program:136377/programs:54576)
eation	60	ambiguous(nation:4827/cation:4096)
tificates	60	ambiguous(silicates:2/titivates:0)
lcast	60	ambiguous(least:63279/last:31621)
ccceeee	60	no_candidate
reconveyed	60	weak_unique(reconvened:23)
toadd	60	ambiguous(toad:73/todd:61)
cratary	60	ambiguous(rotary:120/oratory:53)
nonurbanized	60	no_candidate
calstars	60	ambiguous(casters:5/altars:1)
teense	59	ambiguous(teens:298/tense:171)
rehef	59	weak_unique(reef:46)
ollice	59	ambiguous(ollie:8/ellice:0)
eges	59	ambiguous(ages:2024/eggs:2003)
employec	59	ambiguous(employee:70260/employer:35651)
eops	59	ambiguous(tops:102/eos:38)
executorships	59	weak_unique(executorship:1)
nonlegislative	59	no_candidate
aanestad	59	no_candidate
berg-nejedly	59	no_candidate
nonaluminum	59	no_candidate
bronzan	59	ambiguous(bronze:34/brennan:16)
fications	58	ambiguous(fictions:1/fixations:0)
nonwithdrawable	58	no_candidate
jamps	58	ambiguous(james:1939/camps:1876)
tributions	58	ambiguous(tribulations:3/attributions:0)
ceeeeeeeee	58	no_candidate
eneee	57	ambiguous(need:24956/enter:20089)
dohars	57	weak_unique(doha's:0)
eeeeeees	57	no_candidate
sinte	57	ambiguous(site:16555/since:8736)
ercate	57	ambiguous(rate:64480/estate:32153)
anuum	57	ambiguous(annul:453/vacuum:273)
ereation	57	ambiguous(creation:6474/erection:2193)
brary	57	ambiguous(barry:140/brady:50)
manv	57	ambiguous(many:8514/man:5878)
mmimum	57	ambiguous(minimum:25211/maximum:23795)
guilucos	57	no_candidate
rights-ofway	57	no_candidate
recodified	57	ambiguous(codified:146/rectified:77)
nonproject	57	no_candidate
ccceeeee	57	no_candidate
cuses	56	ambiguous(cases:29152/uses:10621)
nonprobate	56	no_candidate
cighty-five	55	no_candidate
yead	55	ambiguous(read:282008/year:248462)
nonaccepting	55	no_candidate
calipatria	55	no_candidate
ehminating	55	ambiguous(eliminating:1552/terminating:1359)
subse	54	ambiguous(subs:34/subset:12)
construet	54	ambiguous(construed:19368/construct:11513)
anee	54	ambiguous(ane:574/anew:393)
issuec	54	ambiguous(issued:89892/issue:43988)
rolleall	54	no_candidate
nonparking	54	ambiguous(nonpaying:12/nonworking:12)
pletion	53	ambiguous(election:122961/portion:50368)
thority	53	weak_unique(thorite:0)
hibited	53	weak_unique(habited:35)
enses	53	ambiguous(eases:1135/lenses:464)
firet	53	ambiguous(first:99428/fire:34067)
inelnded	53	ambiguous(included:27309/intended:11597)
constituphrase	53	no_candidate
microphotographs	53	weak_unique(microphotograph:33)
ploqtam	53	no_candidate
subfranchisor	53	no_candidate
counell	52	weak_unique(cornell:7)
cccee	52	ambiguous(cycle:1075/cree:1018)
jomtly	52	ambiguous(comply:19853/jointly:7667)
newsectin	52	no_candidate
phenylacetone	52	no_candidate
apml	51	ambiguous(all:421103/am:242773)
potition	51	ambiguous(petition:57152/position:23121)
sxorion	51	ambiguous(orion:9/chorion:0)
onethird	51	no_candidate
stamislaus	51	no_candidate
tirne	51	ambiguous(tire:1240/tine:489)
vards	51	ambiguous(wards:2322/cards:2306)
eraft	51	ambiguous(draft:3254/craft:1681)
sonnel	51	weak_unique(sonnet:0)
newsecton	51	no_candidate
penod	51	weak_unique(pernod:11)
nonschool	51	no_candidate
cytotechnologist	51	no_candidate
nondomiciliary	51	no_candidate
apnum	50	ambiguous(opium:635/annul:453)
ifornia	50	ambiguous(fornix:0/ionia:0)
agement	50	ambiguous(agreement:47959/agent:32569)
incorpora	50	ambiguous(incorporate:3273/corpora:2784)
semor	50	weak_unique(senor:24)
appropriaappropriated	50	no_candidate
cleeted	50	ambiguous(fleeted:0/sleeted:0)
gabilan	50	ambiguous(fabian:4/basilan:0)
neonatorum	50	no_candidate
sctc	50	ambiguous(act:457162/sec:381965)
annnm	49	weak_unique(annam:23)
omee	49	ambiguous(omer:190/omen:85)
ouly	49	ambiguous(only:103275/july:75897)
buperin	49	ambiguous(burin:1/butyrin:0)
eeeeeeeeeeeee	49	no_candidate
contamers	49	ambiguous(containers:6532/consumers:3531)
rightsof-way	49	no_candidate
nonemployee	49	no_candidate
neneeee	49	no_candidate
micrographics	49	no_candidate
xiti	48	ambiguous(titi:17/ziti:0)
ecee	48	weak_unique(emcee:6)
deerce	48	weak_unique(deere:22)
jnly	48	ambiguous(only:103275/july:75897)
reletting	48	ambiguous(resetting:25/relenting:0)
oddnumbered	48	weak_unique(outnumbered:18)
nonrepairable	48	weak_unique(unrepairable:5)
nonsworn	48	weak_unique(forsworn:0)
thesaid	47	weak_unique(thebaid:0)
zanjas	47	weak_unique(ganjas:0)
ccceeeeee	47	no_candidate
ercam	47	ambiguous(cream:5155/gram:2381)
eusting	47	ambiguous(dusting:41/easting:23)
eeeeees	47	ambiguous(peewees:0/teepees:0)
preaddressed	47	weak_unique(readdressed:0)
n-ethylephedrine	47	no_candidate
acerned	46	ambiguous(accrued:6302/earned:5711)
odispo	46	ambiguous(disco:11/dipso:2)
erest	46	ambiguous(erect:1987/rest:1313)
lampara	46	ambiguous(lamar:4/samara:1)
mghts	46	weak_unique(mights:0)
deliverv	46	ambiguous(delivery:16702/deliver:10048)
earrving	46	weak_unique(earring:3)
mills-alquist-deddeh	46	no_candidate
noncontract	46	no_candidate
n-methylephedrine	46	no_candidate
lempert-keene-seastrand	46	no_candidate
gations	45	ambiguous(nations:1249/cations:573)
seventyone	45	no_candidate
aequiring	45	ambiguous(requiring:14268/acquiring:4883)
nondelinquent	45	no_candidate
nonhospital	45	no_candidate
monagan	45	ambiguous(monaghan:2/monacan:0)
nondecay	45	no_candidate
incorpo	44	no_candidate
steerers	44	weak_unique(steerer:6)
xiia	44	weak_unique(ixia:0)
hearme	44	ambiguous(hearse:9/heaume:0)
uncler	44	ambiguous(uncle:111/unclear:80)
eeeeeeeeees	44	no_candidate
nonprotected	44	weak_unique(unprotected:24)
vuich	44	ambiguous(such:874514/which:638761)
anveles	43	weak_unique(aneles:3)
istrator	43	ambiguous(stator:3/castrator:0)
coer	43	ambiguous(cover:7481/cor:4181)
drytown	43	ambiguous(dayton:34/drown:8)
cighty-three	43	no_candidate
terins	43	ambiguous(terns:49/serins:0)
appropriain	43	ambiguous(appropriate:48938/appropriation:39269)
hercinabove	43	no_candidate
licensce	43	ambiguous(license:90825/licensee:30600)
nonmerit	43	no_candidate
tified	42	ambiguous(tidied:0/tiffed:0)
stule	42	ambiguous(stale:1700/style:796)
bation	42	ambiguous(nation:4827/cation:4096)
onehundredths	42	no_candidate
eeeeeeeeeeeeee	42	no_candidate
rnade	42	weak_unique(reade:3)
certineate	42	no_candidate
heensee	42	no_candidate
roncovieri	42	no_candidate
butions	42	ambiguous(buttons:46/bunions:4)
dihydrocodeinone	42	no_candidate
nonconfining	42	no_candidate
pledgees	41	ambiguous(pledges:272/pledgee:196)
fortytwo	41	no_candidate
rutes	41	ambiguous(rules:46125/rates:22135)
eceeee	41	weak_unique(eceses:1)
rectly	41	weak_unique(erectly:0)
honses	41	ambiguous(houses:5270/horses:1802)
exeented	41	ambiguous(expended:17893/executed:11181)
depu	41	weak_unique(depp:0)
torth	41	ambiguous(forth:55320/north:18794)
siskivou	41	no_candidate
statcs	41	ambiguous(states:82035/stats:39154)
cahformia	41	no_candidate
audiometrist	41	weak_unique(audiometric:10)
domenigoni	41	no_candidate
privatizer	41	ambiguous(privatize:1/privatized:0)
nonassisted	41	weak_unique(unassisted:40)
jtpa	41	ambiguous(ta:1096/pa:851)
annim	40	ambiguous(annie:50/annam:23)
ppropria	40	no_candidate
chises	40	ambiguous(chases:114/crises:74)
inaking	40	ambiguous(inking:9/snaking:2)
inws	40	ambiguous(ins:362/ines:127)
appropna	40	no_candidate
exeention	40	ambiguous(exemption:17122/execution:12813)
elee	40	ambiguous(lee:886/else:507)
dations	40	ambiguous(nations:1249/cations:573)
revolv	40	ambiguous(revolve:3/revolt:2)
misdemeanants	40	weak_unique(misdemeanant:14)
demulsifiers	40	ambiguous(emulsifiers:39/demulsifies:0)
midpeninsula	40	no_candidate
nonprepackaged	40	no_candidate
termof	39	weak_unique(termor:10)
fortyone	39	ambiguous(foregone:43/fortune:30)
ninetysix	39	no_candidate
inany	39	weak_unique(inane:16)
tations	39	ambiguous(stations:2347/nations:1249)
caminetti	39	weak_unique(marinetti:0)
btals	39	weak_unique(baals:0)
levving	39	ambiguous(levying:5197/leaving:2144)
displaved	39	ambiguous(displayed:2442/displaced:1739)
nonpotable	39	no_candidate
reneal	39	ambiguous(repeal:27239/renewal:18343)
uncreamed	39	ambiguous(uncreated:0/undreamed:0)
audiometrists	39	no_candidate
compensability	39	weak_unique(condensability:0)
cost-of-hving	39	no_candidate
nonfederally	39	no_candidate
forestwide	39	weak_unique(foreside:0)
nonerasable	39	weak_unique(inerasable:0)
commander-in-chicf	38	no_candidate
fected	38	ambiguous(felted:18/feted:4)
offunds	38	weak_unique(offends:6)
proeceding	38	ambiguous(preceding:31202/proceeding:29993)
secunty	38	ambiguous(security:35990/seventy:17959)
twentv-five	38	no_candidate
trar	38	ambiguous(tear:1689/trap:825)
sucli	38	weak_unique(sulci:0)
appropriaotherwise	38	no_candidate
milias	38	weak_unique(milia:0)
culy	38	ambiguous(july:75897/duly:25971)
nonhandicapped	38	no_candidate
nonpromotional	38	no_candidate
nonsmall	38	no_candidate
selpas	38	weak_unique(salpas:0)
twonty-five	37	no_candidate
limita	37	ambiguous(limit:16357/limits:14535)
polico	37	ambiguous(policy:29258/police:21570)
incumbrancers	37	ambiguous(encumbrances:1421/encumbrancer:538)
cerns	37	ambiguous(ferns:49/terns:49)
ional	37	ambiguous(tonal:44/ronal:6)
eeeeeeees	37	no_candidate
drawal	37	weak_unique(drawl:0)
saie	37	ambiguous(said:424830/same:176551)
setoffs	37	ambiguous(stuffs:324/staffs:226)
sisting	37	ambiguous(listing:3045/sitting:1385)
obliga	37	weak_unique(oblige:3)
meorporated	37	no_candidate
pupus	37	ambiguous(lupus:49/pups:26)
wuheereeas	37	no_candidate
counhes	37	weak_unique(couches:10)
subdistributor	37	no_candidate
neeee	37	ambiguous(need:24956/needs:18816)
shobi-zue	37	no_candidate
ticular	36	weak_unique(titular:8)
clate	36	ambiguous(plate:3765/late:2509)
lishing	36	ambiguous(fishing:4952/listing:3045)
viving	36	ambiguous(giving:11914/living:10429)
srcrron	36	ambiguous(sharron:8/scarron:0)
dupheate	36	weak_unique(upheave:0)
cightcon	36	no_candidate
ereating	36	ambiguous(creating:4190/treating:1677)
douars	36	weak_unique(douras:0)
uary	36	ambiguous(vary:842/nary:589)
paranzella	36	weak_unique(tarantella:0)
pandalus	36	ambiguous(pandanus:2/pandarus:0)
inholding	36	weak_unique(infolding:0)
stiern	36	weak_unique(stern:30)
pohcy	36	weak_unique(poncy:3)
prelicensing	36	no_candidate
safco	36	weak_unique(sacco:0)
rected	35	ambiguous(erected:2817/rented:1617)
actentitled	35	no_candidate
ottice	35	ambiguous(office:138824/notice:138786)
niust	35	ambiguous(first:99428/must:49811)
cccceee	35	no_candidate
acknowl	35	no_candidate
dcem	35	ambiguous(deem:9438/diem:4838)
venience	35	weak_unique(lenience:0)
mumber	35	ambiguous(member:100238/number:88053)
sattley	35	ambiguous(cattle:3002/settle:1487)
erties	35	weak_unique(reties:1)
notwith	35	ambiguous(nitwit:0/nitwits:0)
mumeipal	35	no_candidate
ecnter	35	ambiguous(center:36398/enter:20089)
water-closct	35	no_candidate
mcsheehy	35	no_candidate
remaming	35	ambiguous(renaming:33/remaking:11)
nonclassroom	35	no_candidate
lowand	35	weak_unique(lowland:3)
direeter	35	weak_unique(directer:14)
subdi	34	ambiguous(submit:24883/sub:9495)
ramento	34	ambiguous(ament:24/ramen:19)
priations	34	weak_unique(privations:5)
lighth	34	ambiguous(light:4996/eighth:4265)
cuapr	34	weak_unique(cupar:0)
ticable	34	ambiguous(taxable:27164/liable:16338)
onetwelfth	34	no_candidate
sively	34	weak_unique(lively:6)
condnet	34	ambiguous(conduct:30663/consent:22731)
trahern	34	weak_unique(traherne:0)
mackerricher	34	no_candidate
reflectorizing	34	no_candidate
enenenee	34	no_candidate
noncredentialed	34	no_candidate
nonmanagement	34	no_candidate
prezoned	34	weak_unique(rezoned:39)
nonissuer	34	weak_unique(nonissue:0)
n-ethylpseudoephedrine	34	no_candidate
catheterizations	34	no_candidate
preced	33	ambiguous(precede:150/priced:118)
ninetytwo	33	no_candidate
pohtical	33	weak_unique(poetical:0)
eightyone	33	no_candidate
somoma	33	weak_unique(somoza:0)
xiji	33	weak_unique(fiji:4)
vame	33	ambiguous(same:176551/name:61874)
nouce	33	ambiguous(nonce:21/douce:1)
maxe	33	ambiguous(made:199866/make:87231)
avpropria	33	no_candidate
cighty-nine	33	no_candidate
ié	33	ambiguous(in:2640782/is:1263925)
eeeeeeeees	33	no_candidate
right-ofway	33	no_candidate
disineorporation	33	no_candidate
errone	33	ambiguous(error:3665/errors:1419)
preventoriums	33	no_candidate
asamb	33	weak_unique(asama:0)
bronzan-mccorquodale	33	no_candidate
ninetyone	32	no_candidate
vood	32	ambiguous(food:25026/good:22901)
replanked	32	weak_unique(replanted:36)
cighty-two	32	no_candidate
onv	32	ambiguous(on:583809/one:317854)
naines	32	ambiguous(nines:24/gaines:7)
unnum	32	ambiguous(undue:1348/annul:453)
cancella	32	weak_unique(canella:0)
sircet	32	weak_unique(siret:0)
venient	32	weak_unique(lenient:5)
warreas	32	weak_unique(warrens:0)
tising	32	ambiguous(timing:234/rising:209)
trative	32	weak_unique(tractive:18)
comphed	32	weak_unique(comped:1)
heeome	32	ambiguous(become:63283/home:35841)
poliev	32	ambiguous(policy:29258/police:21570)
turer	32	ambiguous(surer:171/turner:124)
drodelabi	32	no_candidate
havenner	32	ambiguous(avenger:0/lavender:0)
japatul	32	no_candidate
yoats	32	ambiguous(boats:1148/goats:432)
nonbypassable	32	no_candidate
nonrecreational	32	no_candidate
ehminate	32	ambiguous(terminate:6252/eliminate:3192)
mbursement	32	no_candidate
preexpulsion	32	no_candidate
dbcp	32	ambiguous(deep:866/duct:670)
disenroll	32	no_candidate
prequalifying	32	no_candidate
cighty-one	31	no_candidate
fiftysix	31	no_candidate
cecee	31	ambiguous(cease:6027/decree:4247)
posals	31	ambiguous(poses:4002/goals:3980)
tchama	31	ambiguous(cham:56/hama:20)
tants	31	ambiguous(tanks:1930/ants:648)
inonth	31	ambiguous(month:49879/north:18794)
courity	31	ambiguous(county:512140/court:242103)
demnation	31	weak_unique(damnation:0)
eneeeeeee	31	no_candidate
pror	31	ambiguous(prior:102799/pro:45851)
appropriathereof	31	no_candidate
inefect	31	weak_unique(infect:34)
keting	31	ambiguous(meting:17/kiting:13)
inurnment	31	weak_unique(inurement:4)
punnd	31	weak_unique(punned:0)
elverta	31	ambiguous(alberta:35/evert:16)
eeeeeeeeeeeeeee	31	no_candidate
cccceeee	31	no_candidate
ceeeeeeeeee	31	no_candidate
cccceeeeee	31	no_candidate
diphenoxylate	31	no_candidate
n-methylpseudoephedrine	31	no_candidate
seeeeee	30	no_candidate
eece	30	ambiguous(sec:381965/each:290687)
promded	30	weak_unique(prodded:4)
svon	30	ambiguous(sion:9058/soon:7322)
cnter	30	ambiguous(center:36398/enter:20089)
omees	30	weak_unique(omens:31)
nincty-six	30	no_candidate
exeente	30	ambiguous(extent:34383/expense:15001)
cighty-seven	30	no_candidate
ccccee	30	no_candidate
cighty-eight	30	no_candidate
ilouse	30	ambiguous(louse:43/blouse:3)
appropriadollars	30	no_candidate
yoio	30	weak_unique(yoko:0)
erans	30	ambiguous(evans:141/earns:113)
mmor	30	ambiguous(moor:56/amor:28)
corbina	30	weak_unique(corina:0)
subeontainer	30	no_candidate
ethy	30	ambiguous(ethyl:190/thy:124)
pohey	30	ambiguous(pokey:10/pogey:0)
rimpau	30	ambiguous(rameau:0/rimbaud:0)
khandahar	30	weak_unique(kandahar:0)
noncivil	30	weak_unique(uncivil:0)
stepd	30	ambiguous(step:6891/steps:3251)
cceeeeeeeeee	30	no_candidate
mdicated	30	weak_unique(medicated:34)
misassignment	30	weak_unique(misalignment:4)
duplissea	30	no_candidate
mobilehomes-manufactured	30	no_candidate
reroofed	30	weak_unique(reproofed:0)
mapin	30	ambiguous(main:6226/marin:2566)
ruary	29	ambiguous(jury:11115/guard:5449)
ficers	29	ambiguous(fibers:121/filers:57)
caar	29	ambiguous(car:2712/char:1123)
retums	29	weak_unique(rectums:0)
sloners	29	weak_unique(loners:4)
fisea	29	ambiguous(filed:145073/five:123871)
iment	29	weak_unique(ament:24)
solidated	29	ambiguous(validated:1787/solicited:801)
certiteate	29	no_candidate
halepense	29	weak_unique(halfpence:0)
indorsers	29	ambiguous(indorses:24/endorsers:10)
whese	29	ambiguous(where:76940/these:57269)
eceeeeee	29	no_candidate
suea	29	ambiguous(sea:2628/sue:2429)
appheations	29	no_candidate
therecn	29	ambiguous(therein:36084/thereon:29056)
ribier	29	ambiguous(ribber:0/rimier:0)
frori	29	weak_unique(frore:2)
onginal	29	weak_unique(anginal:0)
approveecretary	29	no_candidate
dipheny	29	weak_unique(diphenyl:36)
mecorquodale	29	no_candidate
eeeneeeeeeeees	29	no_candidate
lacmta	29	ambiguous(lama:5/lacuna:3)
cawelo	29	ambiguous(camel:33/camels:12)
eceeeee	28	no_candidate
ulations	28	ambiguous(relations:5108/stations:2347)
stituted	28	ambiguous(statutes:43417/statute:30738)
sehoo	28	weak_unique(shoo:24)
vowers	28	ambiguous(powers:40637/voters:21108)
repiled	28	ambiguous(refiled:42/replied:3)
szcrron	28	ambiguous(sharron:8/scarron:0)
